0,1,2,3,4,5,6,7,8,9
2025-05-29,36.70,37.15,35.80,35.80,-0.85,-2.32,"755,544",,
2025-05-28,35.75,37.00,35.75,36.65,0.90,2.52,"278,621",,
2025-05-27,37.25,37.45,35.50,35.75,-1.50,-4.03,"590,549",,
2025-05-26,37.60,37.90,37.05,37.25,-0.60,-1.59,"402,872",,
2025-05-25,38.40,38.60,37.55,37.85,-0.75,-1.94,"108,968",,
2025-05-22,37.80,39.00,37.65,38.60,0.50,1.31,"324,003",,
2025-05-21,38.60,38.60,37.80,38.10,-0.70,-1.80,"319,390",,
2025-05-20,38.65,38.90,38.40,38.80,0.15,0.39,"345,224",,
2025-05-19,38.65,39.55,38.10,38.65,-0.35,-0.90,"372,656",,
2025-05-18,39.85,39.90,39.00,39.00,-0.80,-2.01,"274,551",,
2025-05-15,40.55,40.65,39.75,39.80,-0.65,-1.61,"561,112",,
2025-05-14,41.80,41.80,40.40,40.45,-2.30,-5.38,"969,406",,
2025-05-13,43.90,43.90,42.65,42.75,-1.10,-2.51,"541,327",,
2025-05-12,43.90,44.20,43.50,43.85,-0.05,-0.11,"413,392",,
2025-05-11,43.25,44.15,43.25,43.90,0.65,1.50,"270,517",,
2025-05-08,42.95,43.30,42.60,43.25,0.35,0.82,"403,704",,
2025-05-07,42.70,42.90,42.35,42.90,0.20,0.47,"313,790",,
2025-05-06,42.60,42.70,41.75,42.70,0.20,0.47,"246,521",,
2025-05-05,42.25,42.80,42.20,42.50,-0.10,-0.23,"593,839",,
2025-05-04,42.60,42.70,42.20,42.60,0.05,0.12,"92,391",,
2025-05-01,43.25,43.35,42.40,42.55,-0.90,-2.07,"230,990",,
2025-04-30,44.05,44.05,43.05,43.45,-0.55,-1.25,"261,420",,
2025-04-29,43.65,44.65,43.40,44.00,0.60,1.38,"602,716",,
2025-04-28,42.90,43.65,42.45,43.40,0.60,1.40,"295,423",,
2025-04-27,42.75,42.95,42.25,42.80,-0.20,-0.47,"119,161",,
2025-04-24,42.95,43.30,42.85,43.00,0.35,0.82,"140,157",,
2025-04-23,42.90,43.35,42.30,42.65,-0.05,-0.12,"240,069",,
2025-04-22,43.50,43.50,42.45,42.70,-1.05,-2.40,"332,630",,
2025-04-21,44.10,44.10,43.40,43.75,-0.25,-0.57,"138,557",,
2025-04-20,43.40,44.10,43.25,44.00,0.65,1.50,"592,911",,
2025-04-17,44.40,44.40,43.00,43.35,-1.15,-2.58,"229,721",,
