0,1,2,3,4,5,6,7,8,9
2025-05-29,132.80,136.40,132.60,134.80,2.20,1.66,"58,097",,
2025-05-28,131.40,133.80,131.40,132.60,1.00,0.76,"27,260",,
2025-05-27,135.00,135.00,131.20,131.60,-3.40,-2.52,"36,123",,
2025-05-26,135.00,136.20,132.60,135.00,-0.40,-0.30,"50,561",,
2025-05-25,139.20,139.20,135.40,135.40,-2.60,-1.88,"48,282",,
2025-05-22,137.40,138.40,136.00,138.00,0.60,0.44,"43,661",,
2025-05-21,139.40,139.60,137.00,137.40,-2.00,-1.43,"58,578",,
2025-05-20,136.00,139.40,135.00,139.40,3.40,2.50,"89,615",,
2025-05-19,136.80,136.80,134.60,136.00,-0.40,-0.29,"58,572",,
2025-05-18,136.80,139.00,135.00,136.40,0.40,0.29,"115,100",,
2025-05-15,135.00,136.80,134.00,136.00,1.00,0.74,"125,393",,
2025-05-14,133.60,135.00,132.80,135.00,2.20,1.66,"83,962",,
2025-05-13,132.20,133.00,130.60,132.80,-1.80,-1.34,"99,961",,
2025-05-12,132.80,134.60,132.60,134.60,2.00,1.51,"65,262",,
2025-05-11,132.20,134.20,131.20,132.60,0.60,0.45,"53,068",,
2025-05-08,132.00,132.60,130.20,132.00,-0.40,-0.30,"36,560",,
2025-05-07,130.40,133.40,130.20,132.40,1.40,1.07,"40,242",,
2025-05-06,134.60,135.60,131.00,131.00,-3.40,-2.53,"37,077",,
2025-05-05,130.40,134.80,128.80,134.40,4.40,3.38,"75,000",,
2025-05-04,129.00,131.40,129.00,130.00,0.00,0.00,"35,227",,
2025-05-01,132.20,132.20,129.20,130.00,-1.40,-1.07,"40,385",,
2025-04-30,136.00,136.00,130.60,131.40,-2.60,-1.94,"89,761",,
2025-04-29,132.00,136.80,131.40,134.00,1.80,1.36,"85,404",,
2025-04-28,133.80,134.00,132.20,132.20,-1.60,-1.20,"29,161",,
2025-04-27,133.00,134.00,131.60,133.80,1.40,1.06,"43,277",,
2025-04-24,131.40,132.80,130.80,132.40,1.40,1.07,"32,369",,
2025-04-23,133.00,133.40,129.80,131.00,0.80,0.61,"79,633",,
2025-04-22,133.60,133.60,130.00,130.20,-3.40,-2.54,"112,357",,
2025-04-21,134.60,137.20,133.60,133.60,-1.80,-1.33,"100,104",,
2025-04-20,132.40,136.00,132.40,135.40,3.20,2.42,"68,241",,
2025-04-17,135.00,135.00,131.20,132.20,-3.40,-2.51,"54,660",,
2025-04-16,136.00,136.60,134.20,135.60,-0.40,-0.29,"43,762",,
2025-04-15,138.60,139.20,135.20,136.00,-2.20,-1.59,"117,286",,
2025-04-14,131.60,138.60,131.00,138.20,6.00,4.54,"144,117",,
2025-04-13,130.20,132.80,130.20,132.20,2.00,1.54,"58,267",,
2025-04-10,132.00,133.00,128.40,130.20,1.40,1.09,"206,463",,
2025-04-09,129.40,130.60,126.20,128.80,-0.60,-0.46,"71,085",,
2025-04-08,127.60,133.40,127.60,129.40,3.20,2.54,"125,352",,
2025-04-07,123.00,126.40,118.00,126.20,2.00,1.61,"120,935",,
2025-04-06,128.00,128.00,123.80,124.20,-7.80,-5.91,"102,891",,
2025-04-03,132.00,134.40,131.60,132.00,1.00,0.76,"102,800",,
2025-03-27,131.40,132.00,130.20,131.00,0.60,0.46,"50,272",,
2025-03-26,128.40,130.60,128.20,130.40,2.00,1.56,"30,492",,
2025-03-25,129.60,129.80,127.60,128.40,0.00,0.00,"16,335",,
2025-03-24,131.00,131.00,127.40,128.40,-1.60,-1.23,"21,098",,
2025-03-23,129.80,130.60,128.80,130.00,0.20,0.15,"14,388",,
2025-03-20,130.00,130.00,128.00,129.80,0.60,0.46,"23,540",,
2025-03-19,129.40,130.20,128.00,129.20,-1.00,-0.77,"47,646",,
2025-03-18,132.00,133.00,129.80,130.20,-3.20,-2.40,"43,702",,
2025-03-17,134.20,135.00,132.40,133.40,-0.40,-0.30,"62,045",,
2025-03-16,132.00,134.20,131.80,133.80,1.80,1.36,"33,594",,
2025-03-13,131.00,132.00,129.60,132.00,1.00,0.76,"56,453",,
2025-03-12,132.00,133.60,130.40,131.00,-1.20,-0.91,"36,741",,
2025-03-11,132.60,133.20,128.40,132.20,-0.80,-0.60,"64,383",,
2025-03-10,133.00,133.60,129.60,133.00,0.80,0.61,"51,519",,
2025-03-09,129.20,132.80,129.20,132.20,1.20,0.92,"32,372",,
