0,1,2,3,4,5,6,7,8,9
2025-05-29,5.36,5.41,5.31,5.37,-0.02,-0.37,"392,812",,
2025-05-28,5.42,5.43,5.36,5.39,0.04,0.75,"548,693",,
2025-05-27,5.48,5.48,5.30,5.35,-0.07,-1.29,"521,829",,
2025-05-26,5.49,5.53,5.32,5.42,-0.07,-1.28,"498,082",,
2025-05-25,5.60,5.60,5.48,5.49,-0.11,-1.96,"526,025",,
2025-05-22,5.60,5.65,5.55,5.60,-0.04,-0.71,"486,916",,
2025-05-21,5.61,5.83,5.59,5.64,0.04,0.71,"2,176,806",,
2025-05-20,5.60,5.66,5.59,5.60,-0.02,-0.36,"409,066",,
2025-05-19,5.65,5.71,5.61,5.62,-0.10,-1.75,"593,472",,
2025-05-18,5.75,5.80,5.70,5.72,-0.03,-0.52,"390,670",,
2025-05-15,5.91,5.91,5.74,5.75,-0.15,-2.54,"751,308",,
2025-05-14,5.85,5.92,5.85,5.90,0.07,1.20,"807,352",,
2025-05-13,5.84,5.89,5.81,5.83,0.02,0.34,"457,987",,
2025-05-12,5.82,5.87,5.80,5.81,0.03,0.52,"566,934",,
2025-05-11,5.96,5.96,5.78,5.78,0.00,0.00,"519,964",,
2025-05-08,5.77,6.06,5.70,5.78,0.02,0.35,"2,012,083",,
2025-05-07,5.89,5.91,5.76,5.76,-0.17,-2.87,"985,584",,
2025-05-06,6.03,6.08,5.88,5.93,-0.10,-1.66,"1,146,862",,
2025-05-05,5.74,6.27,5.74,6.03,0.33,5.79,"8,033,710",,
2025-05-04,5.90,5.90,5.70,5.70,-0.17,-2.90,"422,875",,
2025-05-01,5.94,5.95,5.80,5.87,-0.08,-1.34,"549,908",,
2025-04-30,6.02,6.07,5.92,5.95,-0.07,-1.16,"509,663",,
2025-04-29,6.09,6.10,6.02,6.02,-0.03,-0.50,"388,161",,
2025-04-28,6.14,6.18,6.05,6.05,-0.09,-1.47,"815,718",,
2025-04-27,5.99,6.20,5.98,6.14,0.17,2.85,"1,045,495",,
2025-04-24,6.00,6.02,5.91,5.97,-0.03,-0.50,"653,323",,
2025-04-23,6.01,6.06,5.98,6.00,0.02,0.33,"595,533",,
2025-04-22,5.98,6.03,5.94,5.98,-0.02,-0.33,"524,195",,
2025-04-21,6.08,6.08,6.00,6.00,-0.05,-0.83,"299,191",,
2025-04-20,6.09,6.15,6.00,6.05,-0.04,-0.66,"496,765",,
2025-04-17,6.09,6.15,6.04,6.09,-0.03,-0.49,"630,650",,
2025-04-16,6.04,6.30,6.01,6.12,0.10,1.66,"2,017,637",,
2025-04-15,6.01,6.15,6.01,6.02,0.02,0.33,"1,239,175",,
2025-04-14,5.83,6.00,5.80,6.00,0.21,3.63,"1,024,710",,
2025-04-13,5.72,5.85,5.71,5.79,0.11,1.94,"421,940",,
2025-04-10,5.72,5.72,5.56,5.68,0.28,5.19,"743,200",,
2025-04-09,5.56,5.61,5.35,5.40,-0.15,-2.70,"729,269",,
2025-04-08,5.42,5.65,5.42,5.55,0.17,3.16,"926,555",,
2025-04-07,5.00,5.51,4.94,5.38,0.02,0.37,"984,735",,
2025-04-06,5.50,5.60,5.36,5.36,-0.59,-9.92,"776,878",,
2025-04-03,6.00,6.03,5.92,5.95,-0.09,-1.49,"231,895",,
2025-03-27,5.99,6.08,5.96,6.04,0.08,1.34,"376,819",,
2025-03-26,5.95,5.98,5.88,5.96,0.13,2.23,"359,534",,
2025-03-25,5.99,5.99,5.82,5.83,-0.05,-0.85,"207,131",,
2025-03-24,5.83,5.92,5.79,5.88,0.04,0.68,"150,493",,
2025-03-23,5.81,5.88,5.79,5.84,0.03,0.52,"175,126",,
2025-03-20,5.86,5.92,5.80,5.81,-0.07,-1.19,"302,466",,
2025-03-19,5.90,5.90,5.80,5.88,-0.01,-0.17,"204,880",,
2025-03-18,6.04,6.04,5.86,5.89,-0.05,-0.84,"281,112",,
2025-03-17,6.05,6.10,5.93,5.94,-0.09,-1.49,"367,200",,
2025-03-16,5.98,6.04,5.95,6.03,0.05,0.84,"247,981",,
2025-03-13,5.96,6.01,5.93,5.98,0.02,0.34,"275,523",,
2025-03-12,6.08,6.08,5.95,5.96,0.03,0.51,"377,425",,
2025-03-11,5.77,5.97,5.62,5.93,0.11,1.89,"654,718",,
2025-03-10,5.93,5.93,5.81,5.82,-0.09,-1.52,"270,081",,
2025-03-09,5.99,6.02,5.91,5.91,-0.08,-1.34,"269,225",,
2025-03-06,6.03,6.05,5.96,5.99,-0.04,-0.66,"398,842",,
2025-03-05,6.06,6.08,5.99,6.03,-0.05,-0.82,"402,207",,
2025-03-04,6.18,6.18,6.00,6.08,-0.05,-0.82,"539,125",,
2025-03-03,6.00,6.17,5.99,6.13,0.13,2.17,"490,555",,
2025-03-02,6.23,6.28,5.95,6.00,-0.26,-4.15,"942,450",,
2025-02-27,6.42,6.42,6.24,6.26,-0.06,-0.95,"396,206",,
2025-02-26,6.40,6.40,6.31,6.32,-0.03,-0.47,"306,890",,
2025-02-25,6.35,6.41,6.30,6.35,0.04,0.63,"516,531",,
2025-02-24,6.42,6.43,6.30,6.31,-0.10,-1.56,"671,939",,
2025-02-20,6.47,6.47,6.37,6.41,-0.04,-0.62,"690,586",,
2025-02-19,6.51,6.55,6.44,6.45,-0.07,-1.07,"730,778",,
2025-02-18,6.54,6.57,6.50,6.52,-0.02,-0.31,"407,765",,
2025-02-17,6.60,6.60,6.50,6.54,-0.06,-0.91,"641,487",,
2025-02-16,6.61,6.66,6.60,6.60,-0.01,-0.15,"522,007",,
2025-02-13,6.67,6.67,6.61,6.61,-0.06,-0.90,"586,852",,
2025-02-12,6.75,6.75,6.65,6.67,-0.09,-1.33,"876,806",,
2025-02-11,6.80,6.80,6.73,6.76,-0.03,-0.44,"457,494",,
2025-02-10,6.81,6.83,6.75,6.79,-0.03,-0.44,"1,010,204",,
2025-02-09,6.76,6.84,6.74,6.82,0.05,0.74,"1,118,349",,
2025-02-06,6.74,6.80,6.69,6.77,0.05,0.74,"953,396",,
2025-02-05,6.68,6.72,6.68,6.72,0.04,0.60,"400,525",,
2025-02-04,6.70,6.71,6.67,6.68,0.00,0.00,"325,999",,
2025-02-03,6.70,6.73,6.66,6.68,-0.03,-0.45,"433,205",,
2025-02-02,6.71,6.74,6.68,6.71,0.00,0.00,"313,801",,
2025-01-30,6.75,6.76,6.70,6.71,-0.04,-0.59,"718,572",,
2025-01-29,6.76,6.89,6.72,6.75,0.03,0.45,"2,178,003",,
2025-01-28,6.67,6.76,6.66,6.72,0.05,0.75,"630,970",,
2025-01-27,6.77,6.80,6.67,6.67,-0.07,-1.04,"974,387",,
2025-01-26,6.68,6.77,6.68,6.74,0.04,0.60,"840,387",,
2025-01-23,6.70,6.72,6.66,6.70,0.01,0.15,"809,575",,
2025-01-22,6.71,6.76,6.67,6.69,0.00,0.00,"862,338",,
2025-01-21,6.72,6.75,6.68,6.69,-0.03,-0.45,"541,463",,
2025-01-20,6.76,6.78,6.72,6.72,-0.04,-0.59,"652,362",,
2025-01-19,6.74,6.81,6.74,6.76,0.02,0.30,"501,787",,
2025-01-16,6.80,6.80,6.72,6.74,-0.04,-0.59,"542,973",,
2025-01-15,6.82,6.84,6.78,6.78,-0.03,-0.44,"481,667",,
2025-01-14,6.80,6.82,6.76,6.81,0.04,0.59,"422,290",,
2025-01-13,6.76,6.82,6.75,6.77,0.02,0.30,"518,566",,
2025-01-12,6.79,6.85,6.70,6.75,-0.04,-0.59,"755,832",,
2025-01-09,6.82,7.06,6.78,6.79,-0.01,-0.15,"2,905,636",,
2025-01-08,6.79,6.83,6.76,6.80,0.05,0.74,"380,030",,
2025-01-07,6.81,6.84,6.74,6.75,-0.06,-0.88,"550,250",,
2025-01-06,6.69,6.86,6.64,6.81,0.11,1.64,"1,115,690",,
2025-01-05,6.69,6.80,6.62,6.70,0.03,0.45,"705,788",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,6.69,6.80,6.62,6.70,0.03,0.45,"705,788",,
2025-01-02,6.65,6.70,6.58,6.67,0.02,0.30,"738,163",,
2025-01-01,6.55,6.66,6.54,6.65,0.11,1.68,"697,691",,
2024-12-31,6.51,6.58,6.51,6.54,0.03,0.46,"820,561",,
2024-12-30,6.49,6.52,6.40,6.51,0.02,0.31,"884,326",,
2024-12-29,6.44,6.50,6.44,6.49,0.06,0.93,"256,194",,
2024-12-26,6.50,6.51,6.41,6.43,-0.03,-0.46,"423,607",,
2024-12-25,6.42,6.47,6.39,6.46,0.05,0.78,"326,827",,
2024-12-24,6.50,6.51,6.39,6.41,-0.06,-0.93,"486,206",,
2024-12-23,6.55,6.55,6.43,6.47,-0.07,-1.07,"578,568",,
2024-12-22,6.64,6.72,6.50,6.54,-0.13,-1.95,"643,510",,
2024-12-19,6.73,6.73,6.63,6.67,-0.05,-0.74,"395,651",,
2024-12-18,6.66,6.75,6.63,6.72,0.05,0.75,"755,976",,
2024-12-17,6.80,6.83,6.65,6.67,-0.12,-1.77,"741,859",,
2024-12-16,6.82,6.82,6.75,6.79,-0.01,-0.15,"477,785",,
2024-12-15,6.84,6.84,6.79,6.80,-0.02,-0.29,"272,843",,
2024-12-12,6.83,6.85,6.77,6.82,0.01,0.15,"358,609",,
2024-12-11,6.82,6.86,6.80,6.81,-0.02,-0.29,"522,021",,
2024-12-10,6.88,6.88,6.82,6.83,-0.05,-0.73,"600,189",,
2024-12-09,6.95,6.95,6.86,6.88,-0.07,-1.01,"765,593",,
