0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,266.80,267.60,263.20,263.20,-0.80,-0.30,"226,809",,,,,
2025-05-28,266.00,269.00,264.00,264.00,-1.00,-0.38,"93,307",,,,,
2025-05-27,269.00,269.00,263.20,265.00,-3.00,-1.12,"92,029",,,,,
2025-05-26,269.00,271.20,263.20,268.00,3.40,1.28,"159,101",,,,,
2025-05-25,273.40,273.40,264.40,264.60,-8.40,-3.08,"120,080",,,,,
2025-05-22,274.00,274.00,271.40,273.00,-1.20,-0.44,"60,101",,,,,
2025-05-21,272.40,276.20,271.80,274.20,0.80,0.29,"76,645",,,,,
2025-05-20,274.00,275.40,272.00,273.40,-0.80,-0.29,"90,119",,,,,
2025-05-19,280.00,280.20,273.40,274.20,-2.60,-0.94,"105,013",,,,,
2025-05-18,278.60,278.60,275.00,276.80,-1.80,-0.65,"41,615",,,,,
2025-05-15,283.00,283.00,277.00,278.60,-4.80,-1.69,"80,635",,,,,
2025-05-14,282.60,284.80,281.20,283.40,1.40,0.50,"132,314",,,,,
2025-05-13,280.00,282.00,278.00,282.00,4.60,1.66,"147,017",,,,,
2025-05-12,277.80,280.80,277.00,277.40,-0.40,-0.14,"115,674",,,,,
2025-05-11,274.20,277.80,274.20,277.80,3.60,1.31,"43,408",,,,,
2025-05-08,276.00,276.80,273.00,274.20,-1.20,-0.44,"72,844",,,,,
2025-05-07,271.20,276.60,271.20,275.40,-8.40,-2.96,"116,036",,,,,
2025-05-06,282.80,284.60,281.60,283.80,2.60,0.92,"138,135",,,,,
2025-05-05,282.80,284.20,280.00,281.20,-1.60,-0.57,"141,419",,,,,
2025-05-04,282.00,285.00,282.00,282.80,0.80,0.28,"83,225",,,,,
2025-05-01,286.40,286.40,278.80,282.00,-4.40,-1.54,"160,930",,,,,
2025-04-30,285.00,287.80,284.60,286.40,2.20,0.77,"144,719",,,,,
2025-04-29,291.40,291.40,284.20,284.20,-5.80,-2.00,"232,806",,,,,
2025-04-28,300.00,300.00,286.40,290.00,-10.00,-3.33,"446,860",,,,,
2025-04-27,307.80,307.80,298.00,300.00,-11.40,-3.66,"228,725",,,,,
2025-04-24,307.40,311.40,304.20,311.40,6.00,1.96,"108,379",,,,,
2025-04-23,300.40,306.80,299.80,305.40,8.40,2.83,"104,431",,,,,
2025-04-22,301.00,303.00,297.00,297.00,-5.60,-1.85,"133,269",,,,,
2025-04-21,301.00,303.40,300.20,302.60,1.60,0.53,"70,979",,,,,
2025-04-20,302.00,303.00,299.40,301.00,2.00,0.67,"47,477",,,,,
2025-04-17,294.00,299.00,291.00,299.00,4.00,1.36,"106,201",,,,,
2025-04-16,302.40,302.40,291.40,295.00,-8.00,-2.64,"211,621",,,,,
2025-04-15,300.20,303.40,299.20,303.00,4.00,1.34,"93,967",,,,,
2025-04-14,290.00,299.80,288.00,299.00,10.80,3.75,"198,579",,,,,
2025-04-13,288.00,292.00,287.00,288.20,1.00,0.35,"71,247",,,,,
2025-04-10,293.00,293.00,281.60,287.20,16.20,5.98,"218,910",,,,,
2025-04-09,277.40,279.00,270.20,271.00,-8.60,-3.08,"150,056",,,,,
2025-04-08,277.00,284.80,273.40,279.60,6.60,2.42,"269,618",,,,,
2025-04-07,261.00,276.80,257.60,273.00,-2.60,-0.94,"398,796",,,,,
2025-04-06,282.00,287.80,275.60,275.60,-30.60,-9.99,"306,834",,,,,
2025-04-03,302.40,307.00,299.00,306.20,2.20,0.72,"76,605",,,,,
2025-03-27,307.60,307.60,302.40,304.00,-3.80,-1.23,"82,601",,,,,
2025-03-26,301.00,308.80,300.40,307.80,6.80,2.26,"64,807",,,,,
2025-03-25,303.00,304.60,300.00,301.00,-1.20,-0.40,"58,895",,,,,
2025-03-24,302.00,305.20,298.00,302.20,2.20,0.73,"108,008",,,,,
2025-03-23,308.40,312.80,300.00,300.00,-4.80,-1.57,"57,359",,,,,
2025-03-20,305.00,307.80,301.00,304.80,-2.00,-0.65,"110,068",,,,,
2025-03-19,305.20,308.20,302.00,306.80,0.80,0.26,"48,559",,,,,
2025-03-18,311.80,313.60,305.40,306.00,-7.60,-2.42,"93,675",,,,,
2025-03-17,316.80,319.00,309.00,313.60,-1.80,-0.57,"222,444",,,,,
2025-03-16,310.00,316.40,308.20,315.40,5.80,1.87,"49,967",,,,,
2025-03-13,305.00,309.60,300.20,309.60,4.60,1.51,"88,910",,,,,
2025-03-12,305.40,306.20,301.60,305.00,0.00,0.00,"92,148",,,,,
