0,1,2,3,4,5,6,7,8,9
2025-05-29,11.74,11.76,11.58,11.74,0.06,0.51,"381,847",,
2025-05-28,11.40,11.76,11.40,11.68,0.32,2.82,"547,277",,
2025-05-27,11.62,11.68,11.28,11.36,-0.26,-2.24,"523,083",,
2025-05-26,11.90,11.90,11.42,11.62,-0.10,-0.85,"745,050",,
2025-05-25,12.04,12.20,11.64,11.72,-0.30,-2.50,"999,704",,
2025-05-22,11.66,12.26,11.48,12.02,0.36,3.09,"1,928,744",,
2025-05-21,11.38,12.28,11.30,11.66,0.38,3.37,"4,986,305",,
2025-05-20,11.36,11.50,11.18,11.28,0.10,0.89,"1,442,875",,
2025-05-19,11.40,11.52,11.12,11.18,-0.04,-0.36,"896,688",,
2025-05-18,11.36,11.40,11.16,11.22,-0.12,-1.06,"349,877",,
2025-05-15,11.40,11.40,11.26,11.34,-0.06,-0.53,"309,852",,
2025-05-14,11.40,11.44,11.34,11.40,0.02,0.18,"541,224",,
2025-05-13,11.56,11.56,11.30,11.38,-0.12,-1.04,"553,737",,
2025-05-12,11.36,11.56,11.36,11.50,0.14,1.23,"673,453",,
2025-05-11,11.54,11.60,11.30,11.36,-0.12,-1.05,"489,065",,
2025-05-08,11.72,11.74,11.48,11.48,-0.14,-1.20,"422,455",,
2025-05-07,11.72,11.80,11.52,11.62,-0.08,-0.68,"358,322",,
2025-05-06,11.88,12.00,11.68,11.70,-0.20,-1.68,"431,849",,
2025-05-05,11.88,11.96,11.68,11.90,0.00,0.00,"353,337",,
2025-05-04,11.94,12.00,11.64,11.90,-0.04,-0.34,"668,619",,
2025-05-01,12.48,12.48,11.50,11.94,-0.56,-4.48,"2,182,112",,
2025-04-30,12.66,12.78,12.40,12.50,-0.08,-0.64,"583,712",,
2025-04-29,12.64,12.76,12.58,12.58,-0.08,-0.63,"327,321",,
2025-04-28,12.72,12.78,12.58,12.66,-0.06,-0.47,"375,721",,
2025-04-27,12.82,12.84,12.70,12.72,-0.06,-0.47,"330,975",,
2025-04-24,12.66,12.78,12.66,12.78,0.14,1.11,"308,265",,
2025-04-23,12.80,12.80,12.64,12.64,-0.04,-0.32,"293,288",,
2025-04-22,12.70,12.74,12.60,12.68,-0.04,-0.31,"293,494",,
2025-04-21,12.90,12.96,12.70,12.72,-0.16,-1.24,"204,369",,
2025-04-20,12.62,12.98,12.62,12.88,0.14,1.10,"312,508",,
2025-04-17,12.84,12.92,12.62,12.74,-0.18,-1.39,"335,050",,
2025-04-16,12.90,13.00,12.86,12.92,0.06,0.47,"384,585",,
2025-04-15,12.98,13.06,12.86,12.86,-0.12,-0.92,"456,213",,
2025-04-14,13.00,13.08,12.94,12.98,0.00,0.00,"428,833",,
2025-04-13,13.00,13.20,12.94,12.98,-0.02,-0.15,"739,637",,
2025-04-10,12.88,13.04,12.74,13.00,0.62,5.01,"652,873",,
2025-04-09,12.62,12.76,12.26,12.38,-0.42,-3.28,"580,688",,
2025-04-08,13.00,13.26,12.72,12.80,0.04,0.31,"572,369",,
2025-04-07,11.42,12.98,11.42,12.76,0.30,2.41,"1,194,643",,
2025-04-06,12.30,12.88,12.22,12.46,-1.06,-7.84,"1,027,362",,
2025-04-03,13.60,13.60,13.40,13.52,-0.08,-0.59,"282,471",,
