0,1,2,3,4,5,6,7,8,9
2025-05-29,96.00,96.90,95.60,96.90,1.80,1.89,"239,569",,
2025-05-28,94.80,96.10,94.40,95.10,0.60,0.63,"188,499",,
2025-05-27,96.60,96.60,93.10,94.50,-0.80,-0.84,"178,446",,
2025-05-26,95.70,96.30,92.80,95.30,-0.20,-0.21,"200,983",,
2025-05-25,99.00,99.10,95.40,95.50,-2.80,-2.85,"236,338",,
2025-05-22,101.40,103.40,98.00,98.30,-2.30,-2.29,"433,299",,
2025-05-21,101.00,102.80,99.60,100.60,-0.20,-0.20,"415,853",,
2025-05-20,105.00,105.00,99.90,100.80,-4.80,-4.55,"979,003",,
2025-05-19,102.80,105.60,102.40,105.60,3.20,3.13,"1,126,730",,
2025-05-18,97.10,103.80,97.10,102.40,6.20,6.44,"1,470,287",,
2025-05-15,97.00,97.70,96.20,96.20,-1.50,-1.54,"143,901",,
2025-05-14,99.00,99.00,97.20,97.70,-1.30,-1.31,"154,933",,
2025-05-13,97.00,99.50,96.60,99.00,2.10,2.17,"314,278",,
2025-05-12,96.10,97.70,96.10,96.90,1.50,1.57,"143,378",,
2025-05-11,95.00,97.20,95.00,95.40,0.40,0.42,"144,774",,
2025-05-08,95.00,96.00,94.00,95.00,0.00,0.00,"84,824",,
2025-05-07,96.20,97.70,95.00,95.00,-1.50,-1.55,"133,147",,
2025-05-06,99.10,99.10,96.30,96.50,-2.60,-2.62,"124,065",,
2025-05-05,97.60,99.50,96.50,99.10,1.10,1.12,"190,816",,
2025-05-04,99.50,100.00,97.70,98.00,-1.30,-1.31,"174,566",,
2025-05-01,100.80,101.20,98.60,99.30,-0.90,-0.90,"217,889",,
2025-04-30,100.80,101.40,99.20,100.20,-0.60,-0.60,"377,197",,
2025-04-29,98.00,102.00,97.10,100.80,3.60,3.70,"1,166,871",,
2025-04-28,97.50,98.20,96.70,97.20,0.00,0.00,"208,740",,
2025-04-27,96.80,98.20,96.50,97.20,1.00,1.04,"386,279",,
2025-04-24,95.40,96.60,95.30,96.20,1.10,1.16,"196,965",,
2025-04-23,96.50,97.00,94.90,95.10,-0.10,-0.11,"152,412",,
2025-04-22,95.00,95.80,94.60,95.20,-0.60,-0.63,"117,907",,
2025-04-21,97.40,98.00,95.70,95.80,-1.20,-1.24,"196,344",,
2025-04-20,95.00,97.40,95.00,97.00,2.60,2.75,"294,998",,
2025-04-17,96.00,96.20,94.10,94.40,-1.90,-1.97,"177,437",,
2025-04-16,97.00,97.60,96.00,96.30,-0.70,-0.72,"223,600",,
2025-04-15,97.90,99.60,96.30,97.00,-0.10,-0.10,"487,881",,
2025-04-14,94.60,98.40,94.30,97.10,2.70,2.86,"784,041",,
2025-04-13,88.90,94.40,88.60,94.40,6.50,7.39,"585,095",,
2025-04-10,89.00,89.00,87.40,87.90,4.60,5.52,"428,976",,
2025-04-09,86.20,87.80,83.30,83.30,-3.50,-4.03,"320,114",,
2025-04-08,86.90,89.70,86.00,86.80,2.80,3.33,"524,104",,
2025-04-07,81.20,86.20,80.00,84.00,0.00,0.00,"504,427",,
2025-04-06,85.20,86.80,82.80,84.00,-7.70,-8.40,"570,592",,
2025-04-03,91.00,92.30,90.20,91.70,-0.80,-0.86,"121,620",,
2025-03-27,92.00,92.80,91.50,92.50,0.80,0.87,"151,328",,
2025-03-26,88.20,92.40,88.20,91.70,2.60,2.92,"181,274",,
2025-03-25,89.60,90.00,88.70,89.10,-0.50,-0.56,"150,787",,
2025-03-24,90.10,91.00,89.60,89.60,-0.40,-0.44,"142,314",,
2025-03-23,91.00,91.30,90.00,90.00,-1.00,-1.10,"91,705",,
2025-03-20,90.20,91.00,89.30,91.00,0.80,0.89,"146,815",,
2025-03-19,90.00,91.00,89.40,90.20,-0.30,-0.33,"144,934",,
2025-03-18,92.40,93.00,90.50,90.50,-2.00,-2.16,"243,936",,
2025-03-17,93.80,94.70,92.10,92.50,-1.30,-1.39,"189,901",,
2025-03-16,93.20,94.90,92.70,93.80,0.80,0.86,"242,486",,
2025-03-13,94.30,95.40,92.90,93.00,-0.20,-0.21,"265,703",,
2025-03-12,91.40,93.70,91.10,93.20,1.80,1.97,"302,716",,
2025-03-11,87.60,92.10,86.40,91.40,2.10,2.35,"628,056",,
2025-03-10,92.50,92.50,89.00,89.30,-3.20,-3.46,"725,275",,
2025-03-09,90.50,93.00,88.00,92.50,2.60,2.89,"559,481",,
2025-03-06,90.70,91.70,86.80,89.90,-1.80,-1.96,"751,747",,
2025-03-05,93.00,93.60,90.50,91.70,-1.50,-1.61,"383,272",,
2025-03-04,95.00,95.30,92.50,93.20,-1.80,-1.89,"394,169",,
2025-03-03,94.60,96.90,94.30,95.00,0.20,0.21,"489,389",,
2025-03-02,99.00,99.00,94.00,94.80,-4.20,-4.24,"261,327",,
2025-02-27,100.00,100.00,98.00,99.00,-1.00,-1.00,"232,456",,
2025-02-26,101.00,102.00,99.40,100.00,-1.00,-0.99,"354,259",,
2025-02-25,100.40,101.60,99.20,101.00,-0.80,-0.79,"486,254",,
2025-02-24,103.00,103.20,100.60,101.80,-1.20,-1.17,"347,103",,
2025-02-20,103.60,103.80,101.20,103.00,0.00,0.00,"338,145",,
2025-02-19,103.80,104.20,101.60,103.00,-0.80,-0.77,"451,637",,
2025-02-18,105.00,106.00,103.80,103.80,-0.60,-0.57,"266,969",,
2025-02-17,104.80,106.40,103.40,104.40,-0.40,-0.38,"401,517",,
2025-02-16,106.80,107.00,104.60,104.80,-1.40,-1.32,"283,978",,
2025-02-13,107.40,107.80,105.80,106.20,-1.20,-1.12,"330,248",,
2025-02-12,107.00,109.40,106.60,107.40,1.40,1.32,"1,471,102",,
2025-02-11,105.20,106.20,103.40,106.00,-0.60,-0.56,"1,057,450",,
2025-02-10,107.40,108.00,105.40,106.60,-1.40,-1.30,"527,724",,
2025-02-09,107.40,109.20,107.00,108.00,0.60,0.56,"711,931",,
2025-02-06,107.40,107.40,105.40,107.40,0.40,0.37,"461,303",,
2025-02-05,105.00,107.80,104.80,107.00,2.40,2.29,"1,187,918",,
2025-02-04,103.80,105.00,103.60,104.60,0.40,0.38,"285,271",,
2025-02-03,104.40,104.80,103.00,104.20,-0.40,-0.38,"414,144",,
2025-02-02,104.60,105.80,103.60,104.60,0.20,0.19,"537,623",,
2025-01-30,102.00,105.00,101.60,104.40,2.40,2.35,"638,962",,
2025-01-29,104.00,104.20,101.00,102.00,-2.00,-1.92,"632,564",,
2025-01-28,101.40,104.80,101.40,104.00,2.60,2.56,"862,802",,
2025-01-27,102.40,102.40,100.60,101.40,-1.20,-1.17,"627,294",,
2025-01-26,103.60,104.60,102.40,102.60,-0.60,-0.58,"554,750",,
2025-01-23,102.00,103.80,100.40,103.20,0.60,0.58,"994,792",,
2025-01-22,105.20,106.20,101.80,102.60,-2.80,-2.66,"1,082,578",,
2025-01-21,107.40,108.20,103.80,105.40,-1.80,-1.68,"1,013,433",,
2025-01-20,107.00,108.20,106.40,107.20,0.40,0.37,"318,352",,
2025-01-19,106.40,107.80,105.40,106.80,0.60,0.56,"313,318",,
2025-01-16,104.00,106.60,103.80,106.20,1.80,1.72,"662,903",,
2025-01-15,107.20,107.40,103.20,104.40,-2.80,-2.61,"753,576",,
2025-01-14,107.80,107.80,106.40,107.20,0.20,0.19,"382,724",,
2025-01-13,109.40,109.40,106.80,107.00,-1.80,-1.65,"314,648",,
2025-01-12,108.40,111.00,108.40,108.80,0.00,0.00,"118,610",,
2025-01-09,110.20,110.20,108.40,108.80,-1.40,-1.27,"211,826",,
2025-01-08,110.60,111.80,110.00,110.20,-0.20,-0.18,"226,801",,
2025-01-07,111.40,111.40,109.60,110.40,-1.00,-0.90,"378,021",,
2025-01-06,108.20,112.40,107.40,111.40,3.40,3.15,"650,043",,
2025-01-05,108.20,108.60,107.00,108.00,-0.20,-0.18,"183,354",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,108.20,108.60,107.00,108.00,-0.20,-0.18,"183,354",,
2025-01-02,109.20,109.20,107.60,108.20,-1.00,-0.92,"273,940",,
2025-01-01,109.40,110.00,108.20,109.20,0.20,0.18,"237,942",,
2024-12-31,108.80,110.00,107.20,109.00,0.40,0.37,"436,462",,
2024-12-30,107.80,108.80,106.20,108.60,0.80,0.74,"203,704",,
2024-12-29,108.80,109.20,107.00,107.80,-1.00,-0.92,"182,551",,
2024-12-26,110.00,110.40,108.20,108.80,-0.20,-0.18,"203,469",,
2024-12-25,108.60,112.00,108.40,109.00,0.60,0.55,"424,020",,
2024-12-24,108.80,110.40,105.20,108.40,-2.40,-2.17,"479,290",,
2024-12-23,113.00,113.00,109.60,110.80,-1.80,-1.60,"363,168",,
2024-12-22,113.00,114.40,112.40,112.60,-0.40,-0.35,"199,406",,
2024-12-19,112.00,113.00,111.40,113.00,-0.40,-0.35,"269,651",,
2024-12-18,112.20,114.20,112.20,113.40,1.20,1.07,"310,161",,
2024-12-17,114.80,115.00,112.00,112.20,-2.80,-2.43,"430,991",,
2024-12-16,115.60,116.60,114.40,115.00,-0.80,-0.69,"202,349",,
2024-12-15,114.80,116.60,114.40,115.80,1.00,0.87,"234,571",,
2024-12-12,117.20,118.60,114.40,114.80,-2.00,-1.71,"541,044",,
2024-12-11,113.00,117.00,112.20,116.80,3.80,3.36,"604,013",,
2024-12-10,113.40,114.20,112.40,113.00,-1.20,-1.05,"476,530",,
2024-12-09,117.20,117.80,113.20,114.20,-4.00,-3.38,"1,037,986",,
2024-12-08,118.60,119.80,118.00,118.20,-0.40,-0.34,"220,743",,
2024-12-05,119.60,120.60,118.20,118.60,-1.00,-0.84,"436,530",,
2024-12-04,118.80,121.00,118.60,119.60,0.80,0.67,"493,889",,
2024-12-03,119.20,120.20,118.40,118.80,-0.20,-0.17,"720,206",,
2024-12-02,115.40,121.60,115.20,119.00,4.00,3.48,"1,506,873",,
2024-12-01,115.00,116.80,115.00,115.00,0.20,0.17,"188,211",,
2024-11-28,116.80,117.40,114.60,114.80,-2.00,-1.71,"346,510",,
2024-11-27,116.00,118.20,115.20,116.80,1.00,0.86,"645,562",,
2024-11-26,117.40,118.80,115.80,115.80,-1.20,-1.03,"787,019",,
2024-11-25,113.80,117.40,113.00,117.00,3.40,2.99,"1,011,109",,
2024-11-24,114.20,114.80,112.80,113.60,-0.60,-0.53,"183,243",,
2024-11-21,114.40,114.60,113.00,114.20,-0.40,-0.35,"226,547",,
2024-11-20,114.00,116.20,113.80,114.60,0.60,0.53,"280,244",,
2024-11-19,114.20,115.20,113.20,114.00,0.00,0.00,"192,603",,
2024-11-18,116.20,117.00,113.80,114.00,-2.00,-1.72,"383,806",,
2024-11-17,113.80,116.00,113.80,116.00,2.20,1.93,"300,155",,
2024-11-14,116.60,117.20,112.80,113.80,-2.20,-1.90,"469,102",,
2024-11-13,116.60,117.40,115.20,116.00,-0.80,-0.68,"347,541",,
2024-11-12,115.00,117.60,114.60,116.80,2.00,1.74,"928,879",,
2024-11-11,112.20,115.40,111.60,114.80,2.20,1.95,"751,483",,
2024-11-10,115.40,115.40,112.20,112.60,-2.40,-2.09,"546,089",,
2024-11-07,117.00,117.20,114.80,115.00,-1.60,-1.37,"560,569",,
2024-11-06,115.00,118.20,114.80,116.60,2.60,2.28,"930,106",,
2024-11-05,113.80,115.80,113.80,114.00,0.20,0.18,"468,838",,
2024-11-04,115.00,116.20,112.40,113.80,-1.20,-1.04,"779,301",,
2024-11-03,115.40,117.20,113.40,115.00,-2.20,-1.88,"692,618",,
2024-10-31,116.40,120.20,115.00,117.20,0.40,0.34,"2,017,739",,
2024-10-30,114.00,118.20,111.80,116.80,6.80,6.18,"4,045,010",,
2024-10-29,109.00,110.00,108.40,110.00,0.60,0.55,"808,375",,
2024-10-28,110.00,110.80,108.40,109.40,-0.40,-0.36,"688,336",,
2024-10-27,107.40,110.60,106.80,109.80,3.80,3.58,"1,156,198",,
2024-10-24,107.00,107.80,104.00,106.00,-0.60,-0.56,"488,670",,
2024-10-23,107.60,108.20,105.60,106.60,-0.80,-0.74,"572,160",,
2024-10-22,110.00,112.00,107.20,107.40,0.00,0.00,"1,259,660",,
2024-10-21,106.60,108.80,106.20,107.40,0.80,0.75,"384,002",,
2024-10-20,108.40,109.20,105.80,106.60,-1.40,-1.30,"597,897",,
2024-10-17,109.40,111.60,107.60,108.00,-1.20,-1.10,"1,629,098",,
2024-10-16,105.40,112.40,105.00,109.20,3.60,3.41,"2,721,270",,
2024-10-15,109.00,110.40,104.00,105.60,-1.60,-1.49,"2,219,285",,
2024-10-14,98.00,107.20,97.70,107.20,9.70,9.95,"5,095,475",,
2024-10-13,95.10,98.30,95.10,97.50,2.60,2.74,"1,457,082",,
2024-10-10,93.40,94.90,92.90,94.90,1.90,2.04,"623,660",,
2024-10-09,95.00,95.90,91.30,93.00,-2.00,-2.11,"824,544",,
2024-10-08,94.40,96.00,93.30,95.00,0.60,0.64,"1,116,171",,
2024-10-07,94.20,95.60,93.50,94.40,1.40,1.51,"1,026,333",,
2024-10-06,93.90,96.30,91.00,93.00,0.50,0.54,"2,657,665",,
2024-10-03,90.10,93.90,90.10,92.50,2.50,2.78,"1,312,271",,
2024-10-02,92.00,92.20,90.00,90.00,-2.90,-3.12,"992,660",,
2024-10-01,93.20,94.50,92.60,92.90,-0.40,-0.43,"409,329",,
2024-09-30,94.50,95.00,93.10,93.30,-1.20,-1.27,"562,834",,
2024-09-29,95.50,95.50,93.20,94.50,-0.40,-0.42,"611,078",,
