0,1,2,3,4,5,6,7,8,9
2025-05-29,58.60,59.60,57.50,59.60,1.60,2.76,"2,800,638",,
2025-05-28,57.00,58.80,57.00,58.00,1.00,1.75,"1,078,692",,
2025-05-27,57.00,58.20,56.70,57.00,-0.20,-0.35,"1,096,494",,
2025-05-26,56.10,57.50,55.50,57.20,1.20,2.14,"1,009,853",,
2025-05-25,56.80,57.20,55.60,56.00,-0.80,-1.41,"580,250",,
2025-05-22,57.20,57.70,56.20,56.80,-1.10,-1.90,"1,004,374",,
2025-05-21,57.80,59.20,57.80,57.90,-0.20,-0.34,"594,424",,
2025-05-20,58.60,58.90,57.80,58.10,-0.80,-1.36,"948,223",,
2025-05-19,59.20,59.40,58.50,58.90,-0.30,-0.51,"375,901",,
2025-05-18,58.60,59.50,58.50,59.20,0.70,1.20,"280,007",,
2025-05-15,57.80,58.60,57.00,58.50,0.80,1.39,"1,242,277",,
2025-05-14,59.70,59.70,57.60,57.70,-2.10,-3.51,"971,592",,
2025-05-13,60.60,60.60,59.00,59.80,-0.80,-1.32,"736,518",,
2025-05-12,60.10,61.00,60.00,60.60,0.60,1.00,"839,755",,
2025-05-11,59.00,60.70,58.90,60.00,1.60,2.74,"519,408",,
2025-05-08,60.00,60.60,58.40,58.40,-1.60,-2.67,"990,085",,
2025-05-07,60.10,61.10,59.60,60.00,0.20,0.33,"668,309",,
2025-05-06,60.50,61.30,59.70,59.80,-0.80,-1.32,"460,213",,
2025-05-05,61.00,61.50,60.30,60.60,-0.40,-0.66,"464,983",,
2025-05-04,62.10,62.60,61.00,61.00,-2.00,-3.17,"311,471",,
2025-05-01,63.00,63.10,62.00,63.00,0.20,0.32,"870,529",,
2025-04-30,62.00,63.00,61.80,62.80,0.80,1.29,"2,989,647",,
2025-04-29,62.40,63.30,61.90,62.00,-0.10,-0.16,"1,695,156",,
2025-04-28,61.50,62.70,61.50,62.10,0.60,0.98,"858,371",,
2025-04-27,62.50,63.40,61.50,61.50,-1.20,-1.91,"856,567",,
2025-04-24,61.40,63.30,61.30,62.70,1.70,2.79,"2,545,278",,
2025-04-23,63.00,63.70,60.70,61.00,-2.00,-3.17,"2,790,780",,
2025-04-22,61.50,63.70,61.50,63.00,1.00,1.61,"1,088,886",,
2025-04-21,61.40,62.70,61.40,62.00,0.60,0.98,"543,114",,
2025-04-20,62.20,62.90,61.30,61.40,-0.70,-1.13,"425,640",,
2025-04-17,61.70,62.50,61.10,62.10,-0.40,-0.64,"902,348",,
2025-04-16,61.20,62.50,61.10,62.50,1.20,1.96,"1,560,552",,
2025-04-15,59.60,62.00,58.70,61.30,1.90,3.20,"1,565,397",,
2025-04-14,59.00,59.50,58.90,59.40,0.40,0.68,"1,394,030",,
2025-04-13,57.90,59.00,57.90,59.00,1.60,2.79,"453,856",,
2025-04-10,59.70,59.90,57.40,57.40,1.20,2.14,"1,458,142",,
2025-04-09,57.40,58.50,56.20,56.20,-1.20,-2.09,"1,145,802",,
2025-04-08,57.40,59.70,57.10,57.40,1.40,2.50,"2,112,835",,
2025-04-07,54.00,57.80,52.90,56.00,1.40,2.56,"3,286,566",,
2025-04-06,56.20,58.00,54.60,54.60,-5.10,-8.54,"1,846,223",,
2025-04-03,55.30,60.70,55.30,59.70,-1.30,-2.13,"1,963,250",,
2025-03-27,60.50,61.20,59.90,61.00,0.40,0.66,"2,438,532",,
2025-03-26,58.20,60.60,58.20,60.60,2.40,4.12,"803,951",,
2025-03-25,59.60,59.90,58.20,58.20,-1.00,-1.69,"484,799",,
2025-03-24,59.00,60.50,59.00,59.20,0.50,0.85,"621,876",,
2025-03-23,58.30,60.10,58.30,58.70,-0.90,-1.51,"437,271",,
2025-03-20,59.50,60.10,59.40,59.60,0.30,0.51,"1,402,396",,
2025-03-19,59.40,60.30,59.20,59.30,-0.10,-0.17,"1,145,253",,
2025-03-18,60.40,60.90,59.20,59.40,-1.20,-1.98,"1,264,682",,
2025-03-17,60.60,61.10,60.00,60.60,0.00,0.00,"772,843",,
2025-03-16,59.20,61.50,58.60,60.60,0.90,1.51,"523,303",,
2025-03-13,58.90,60.40,58.50,59.70,0.70,1.19,"881,693",,
2025-03-12,58.90,59.50,58.30,59.00,0.40,0.68,"1,280,093",,
2025-03-11,57.90,59.30,57.00,58.60,0.60,1.03,"1,264,044",,
2025-03-10,59.90,59.90,58.00,58.00,-1.00,-1.69,"1,492,012",,
2025-03-09,60.00,60.00,58.40,59.00,-1.30,-2.16,"848,303",,
2025-03-06,61.50,61.50,59.70,60.30,-0.90,-1.47,"1,301,840",,
2025-03-05,61.60,61.60,60.80,61.20,0.20,0.33,"920,830",,
2025-03-04,61.30,62.20,60.80,61.00,-0.40,-0.65,"1,471,919",,
2025-03-03,61.00,61.80,60.70,61.40,-0.10,-0.16,"750,921",,
2025-03-02,62.50,62.50,60.70,61.50,-0.50,-0.81,"727,025",,
2025-02-27,62.30,62.50,61.30,62.00,-0.10,-0.16,"2,394,038",,
2025-02-26,61.90,63.20,61.90,62.10,-0.10,-0.16,"1,212,883",,
2025-02-25,63.70,63.70,61.90,62.20,-1.60,-2.51,"836,971",,
2025-02-24,63.00,64.50,62.60,63.80,0.80,1.27,"4,385,611",,
2025-02-20,60.00,63.00,59.80,63.00,3.20,5.35,"4,972,739",,
2025-02-19,58.80,60.10,58.40,59.80,3.10,5.47,"4,043,859",,
2025-02-18,56.10,56.70,55.40,56.70,0.50,0.89,"841,544",,
2025-02-17,56.40,56.60,55.60,56.20,-0.30,-0.53,"570,139",,
2025-02-16,57.00,57.80,56.30,56.50,-0.80,-1.40,"377,019",,
2025-02-13,57.30,57.90,57.20,57.30,-0.50,-0.87,"352,371",,
2025-02-12,57.20,58.00,57.20,57.80,0.60,1.05,"875,351",,
2025-02-11,57.00,57.30,56.70,57.20,0.20,0.35,"442,324",,
2025-02-10,56.40,57.40,56.40,57.00,0.40,0.71,"1,095,118",,
2025-02-09,57.40,57.50,56.60,56.60,-0.80,-1.39,"742,937",,
2025-02-06,56.70,57.50,56.70,57.40,0.50,0.88,"816,922",,
2025-02-05,58.20,58.20,56.70,56.90,-1.30,-2.23,"1,129,557",,
2025-02-04,57.70,58.70,57.60,58.20,0.50,0.87,"988,573",,
2025-02-03,57.40,58.00,56.30,57.70,0.20,0.35,"937,896",,
2025-02-02,57.90,58.50,57.30,57.50,-0.40,-0.69,"341,670",,
2025-01-30,57.80,58.30,57.60,57.90,-0.10,-0.17,"657,292",,
