0,1,2,3,4,5,6,7,8,9
2025-05-29,10.82,10.90,10.74,10.90,0.10,0.93,"2,418,004",,
2025-05-28,10.72,10.82,10.70,10.80,0.06,0.56,"1,608,538",,
2025-05-27,10.84,10.88,10.68,10.74,-0.10,-0.92,"2,042,946",,
2025-05-26,10.86,10.96,10.78,10.84,-0.02,-0.18,"2,415,448",,
2025-05-25,11.02,11.04,10.84,10.86,-0.18,-1.63,"1,738,771",,
2025-05-22,11.02,11.06,10.96,11.04,-0.02,-0.18,"2,422,228",,
2025-05-21,11.04,11.12,11.02,11.06,0.02,0.18,"2,711,824",,
2025-05-20,11.06,11.10,11.00,11.04,-0.02,-0.18,"2,412,814",,
2025-05-19,11.06,11.26,11.00,11.06,0.02,0.18,"3,461,259",,
2025-05-18,11.04,11.10,11.00,11.04,0.04,0.36,"1,548,130",,
2025-05-15,11.26,11.26,10.82,11.00,-0.24,-2.14,"9,114,368",,
2025-05-14,11.36,11.36,11.20,11.24,-0.08,-0.71,"3,272,627",,
2025-05-13,11.56,11.58,11.30,11.32,-0.20,-1.74,"4,280,319",,
2025-05-12,11.34,11.56,11.32,11.52,0.20,1.77,"25,178,682",,
2025-05-11,11.10,11.32,11.02,11.32,0.24,2.17,"4,431,119",,
2025-05-08,11.50,11.58,11.08,11.08,-0.42,-3.65,"6,384,207",,
2025-05-07,11.88,11.88,11.36,11.50,-1.04,-8.29,"17,907,150",,
2025-05-06,12.60,12.78,12.40,12.54,-0.08,-0.63,"2,882,728",,
2025-05-05,12.08,12.70,12.02,12.62,0.54,4.47,"5,975,073",,
2025-05-04,12.48,12.52,12.08,12.08,-0.40,-3.21,"2,251,450",,
2025-05-01,12.70,12.74,12.46,12.48,-0.26,-2.04,"3,162,804",,
2025-04-30,12.64,12.76,12.50,12.74,0.08,0.63,"5,279,313",,
2025-04-29,12.78,12.78,12.58,12.66,-0.12,-0.94,"4,083,171",,
2025-04-28,12.48,12.84,12.44,12.78,0.32,2.57,"10,106,178",,
2025-04-27,12.60,12.60,12.36,12.46,-0.54,-4.15,"7,283,851",,
2025-04-24,12.96,13.08,12.90,13.00,0.08,0.62,"11,151,989",,
2025-04-23,13.08,13.12,12.84,12.92,-0.08,-0.62,"8,977,956",,
2025-04-22,13.00,13.14,12.94,13.00,-0.06,-0.46,"5,476,653",,
2025-04-21,13.04,13.36,13.00,13.06,0.04,0.31,"10,117,417",,
2025-04-20,12.92,13.08,12.78,13.02,0.24,1.88,"6,841,012",,
2025-04-17,13.10,13.16,12.72,12.78,-0.30,-2.29,"11,137,615",,
2025-04-16,12.40,13.18,12.28,13.08,0.70,5.65,"20,289,791",,
2025-04-15,12.26,12.42,12.20,12.38,0.16,1.31,"6,850,133",,
2025-04-14,12.12,12.28,12.00,12.22,0.12,0.99,"9,620,833",,
2025-04-13,11.66,12.10,11.66,12.10,0.48,4.13,"9,608,845",,
2025-04-10,11.60,11.68,11.42,11.62,0.44,3.94,"6,860,624",,
2025-04-09,11.36,11.50,11.12,11.18,-0.24,-2.10,"3,821,516",,
2025-04-08,11.48,11.62,11.26,11.42,0.10,0.88,"5,628,676",,
2025-04-07,10.66,11.38,10.60,11.32,0.46,4.24,"8,310,477",,
2025-04-06,11.34,11.54,10.82,10.86,-0.96,-8.12,"9,026,678",,
2025-04-03,11.18,11.92,11.12,11.82,0.56,4.97,"10,606,111",,
2025-03-27,11.18,11.30,11.16,11.26,0.08,0.72,"2,495,632",,
2025-03-26,10.94,11.20,10.92,11.18,0.26,2.38,"3,745,228",,
2025-03-25,10.92,11.00,10.88,10.92,0.00,0.00,"2,099,400",,
2025-03-24,10.92,10.98,10.86,10.92,-0.02,-0.18,"2,258,416",,
2025-03-23,10.96,11.02,10.80,10.94,0.04,0.37,"2,393,239",,
2025-03-20,11.10,11.12,10.90,10.90,-0.18,-1.62,"5,098,918",,
2025-03-19,11.06,11.30,11.04,11.08,0.00,0.00,"4,443,660",,
2025-03-18,11.00,11.08,10.94,11.08,0.08,0.73,"1,890,906",,
2025-03-17,11.08,11.14,10.98,11.00,-0.06,-0.54,"2,384,239",,
2025-03-16,10.90,11.08,10.80,11.06,0.20,1.84,"2,350,767",,
2025-03-13,10.84,10.92,10.78,10.86,0.06,0.56,"2,453,004",,
2025-03-12,10.86,11.00,10.78,10.80,-0.08,-0.74,"2,831,806",,
2025-03-11,10.66,10.92,10.54,10.88,0.12,1.12,"4,792,118",,
2025-03-10,10.66,10.76,10.60,10.76,0.08,0.75,"2,353,123",,
2025-03-09,10.64,10.74,10.62,10.68,0.02,0.19,"1,352,155",,
2025-03-06,10.80,10.90,10.56,10.66,-0.24,-2.20,"5,604,364",,
2025-03-05,10.96,11.00,10.76,10.90,-0.04,-0.37,"3,452,679",,
2025-03-04,10.80,11.10,10.70,10.94,0.06,0.55,"5,763,636",,
2025-03-03,10.90,11.04,10.68,10.88,0.00,0.00,"8,122,903",,
2025-03-02,11.00,11.20,10.88,10.88,0.02,0.18,"4,774,557",,
2025-02-27,11.38,11.48,10.86,10.86,-0.52,-4.57,"51,155,361",,
2025-02-26,11.58,11.66,11.38,11.38,-0.20,-1.73,"4,305,220",,
2025-02-25,11.68,11.72,11.48,11.58,-0.10,-0.86,"4,617,614",,
2025-02-24,11.42,11.74,11.36,11.68,0.28,2.46,"10,209,937",,
2025-02-20,11.24,11.48,11.10,11.40,0.20,1.79,"11,976,256",,
2025-02-19,10.84,11.22,10.80,11.20,0.40,3.70,"10,624,632",,
2025-02-18,10.82,11.14,10.74,10.80,0.52,5.06,"23,924,868",,
2025-02-17,10.36,10.38,10.28,10.28,-0.10,-0.96,"2,456,629",,
2025-02-16,10.46,10.48,10.38,10.38,-0.08,-0.76,"517,844",,
2025-02-13,10.34,10.46,10.34,10.46,0.06,0.58,"1,589,017",,
2025-02-12,10.56,10.56,10.34,10.40,-0.16,-1.52,"2,773,790",,
2025-02-11,10.56,10.58,10.50,10.56,0.00,0.00,"772,793",,
2025-02-10,10.60,10.64,10.52,10.56,-0.06,-0.56,"1,235,400",,
2025-02-09,10.64,10.72,10.62,10.62,-0.02,-0.19,"1,325,915",,
2025-02-06,10.64,10.64,10.56,10.64,0.00,0.00,"1,042,209",,
2025-02-05,10.54,10.64,10.52,10.64,0.10,0.95,"1,766,826",,
2025-02-04,10.48,10.56,10.44,10.54,0.06,0.57,"1,013,414",,
2025-02-03,10.54,10.60,10.42,10.48,-0.14,-1.32,"1,898,426",,
2025-02-02,10.64,10.68,10.52,10.62,0.02,0.19,"2,739,583",,
2025-01-30,10.32,10.62,10.30,10.60,0.30,2.91,"6,030,252",,
2025-01-29,10.40,10.42,10.30,10.30,-0.10,-0.96,"1,566,200",,
2025-01-28,10.34,10.42,10.30,10.40,0.06,0.58,"2,787,076",,
2025-01-27,10.32,10.36,10.30,10.34,0.00,0.00,"912,382",,
2025-01-26,10.34,10.38,10.30,10.34,0.00,0.00,"720,554",,
2025-01-23,10.26,10.34,10.24,10.34,0.08,0.78,"1,309,663",,
2025-01-22,10.32,10.34,10.26,10.26,-0.06,-0.58,"1,125,385",,
2025-01-21,10.36,10.38,10.28,10.32,-0.06,-0.58,"1,199,848",,
2025-01-20,10.40,10.42,10.32,10.38,-0.02,-0.19,"2,112,329",,
2025-01-19,10.42,10.46,10.38,10.40,-0.02,-0.19,"1,494,876",,
2025-01-16,10.36,10.42,10.32,10.42,0.08,0.77,"1,718,882",,
2025-01-15,10.36,10.40,10.30,10.34,-0.02,-0.19,"1,506,445",,
2025-01-14,10.26,10.36,10.22,10.36,0.12,1.17,"1,755,253",,
2025-01-13,10.20,10.34,10.20,10.24,0.04,0.39,"2,523,012",,
2025-01-12,10.20,10.22,10.14,10.20,0.00,0.00,"997,258",,
2025-01-09,10.24,10.24,10.16,10.20,-0.04,-0.39,"1,226,425",,
2025-01-08,10.22,10.24,10.16,10.24,0.02,0.20,"1,416,736",,
2025-01-07,10.20,10.22,10.14,10.22,0.02,0.20,"1,618,984",,
2025-01-06,10.22,10.24,10.16,10.20,-0.04,-0.39,"1,845,936",,
2025-01-05,10.28,10.28,10.22,10.24,-0.04,-0.39,"865,054",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,10.28,10.28,10.22,10.24,-0.04,-0.39,"865,054",,
2025-01-02,10.28,10.32,10.26,10.28,-0.02,-0.19,"753,440",,
2025-01-01,10.26,10.30,10.24,10.30,0.04,0.39,"392,287",,
2024-12-31,10.30,10.32,10.24,10.26,-0.04,-0.39,"959,086",,
2024-12-30,10.24,10.30,10.20,10.30,0.04,0.39,"803,024",,
2024-12-29,10.28,10.30,10.20,10.26,-0.02,-0.19,"642,025",,
2024-12-26,10.30,10.30,10.22,10.28,-0.02,-0.19,"1,029,709",,
2024-12-25,10.22,10.30,10.18,10.30,0.08,0.78,"954,103",,
2024-12-24,10.20,10.22,10.18,10.22,0.02,0.20,"644,164",,
2024-12-23,10.20,10.24,10.18,10.20,0.00,0.00,"935,894",,
2024-12-22,10.24,10.32,10.20,10.20,-0.02,-0.20,"1,206,929",,
2024-12-19,10.28,10.32,10.22,10.22,-0.08,-0.78,"1,760,217",,
2024-12-18,10.24,10.30,10.22,10.30,0.06,0.59,"883,037",,
2024-12-17,10.30,10.30,10.24,10.24,-0.04,-0.39,"923,366",,
2024-12-16,10.32,10.34,10.26,10.28,-0.04,-0.39,"930,698",,
