0,1,2,3,4,5,6,7,8,9
2025-05-29,42.30,42.35,41.80,41.90,-0.35,-0.83,"6,690,437",,
2025-05-28,42.05,42.75,42.05,42.25,0.25,0.60,"4,204,804",,
2025-05-27,42.25,42.30,41.55,42.00,-0.20,-0.47,"3,903,120",,
2025-05-26,42.30,42.35,41.95,42.20,0.10,0.24,"2,957,515",,
2025-05-25,42.60,42.70,41.95,42.10,-0.50,-1.17,"2,859,372",,
2025-05-22,42.90,42.90,42.45,42.60,-0.35,-0.81,"3,139,158",,
2025-05-21,43.35,43.50,42.85,42.95,-0.40,-0.92,"4,067,576",,
2025-05-20,43.30,43.60,43.20,43.35,0.20,0.46,"5,888,270",,
2025-05-19,43.00,43.40,42.70,43.15,0.20,0.47,"5,999,207",,
2025-05-18,43.35,43.50,42.75,42.95,-0.30,-0.69,"4,561,356",,
2025-05-15,43.55,43.65,42.90,43.25,-0.25,-0.57,"5,337,948",,
2025-05-14,43.85,43.95,43.50,43.50,-2.50,-5.43,"8,450,060",,
2025-05-13,46.25,46.25,45.55,46.00,0.05,0.11,"6,121,957",,
2025-05-12,46.00,46.10,45.65,45.95,0.10,0.22,"5,565,408",,
2025-05-11,46.00,46.05,45.60,45.85,0.35,0.77,"2,572,761",,
2025-05-08,45.90,46.05,45.50,45.50,-0.45,-0.98,"3,163,986",,
2025-05-07,45.95,46.20,45.60,45.95,-0.05,-0.11,"2,999,293",,
2025-05-06,46.20,46.40,45.70,46.00,-0.20,-0.43,"2,186,500",,
2025-05-05,46.00,46.70,45.45,46.20,0.30,0.65,"3,018,286",,
2025-05-04,46.90,46.90,45.90,45.90,-1.10,-2.34,"2,939,292",,
2025-05-01,47.60,47.60,46.80,47.00,-0.60,-1.26,"4,269,293",,
2025-04-30,47.45,47.80,47.40,47.60,0.20,0.42,"5,264,322",,
2025-04-29,48.00,48.05,47.40,47.40,-0.60,-1.25,"5,506,430",,
2025-04-28,48.15,48.30,47.35,48.00,-0.10,-0.21,"6,501,010",,
2025-04-27,48.00,48.25,47.95,48.10,0.10,0.21,"2,231,417",,
2025-04-24,47.35,48.20,47.15,48.00,0.70,1.48,"7,180,954",,
2025-04-23,46.60,47.35,46.30,47.30,1.15,2.49,"7,560,096",,
2025-04-22,46.45,46.70,45.90,46.15,-0.25,-0.54,"4,000,414",,
2025-04-21,46.70,46.75,46.25,46.40,-0.35,-0.75,"1,793,576",,
2025-04-20,46.70,47.10,46.50,46.75,0.05,0.11,"1,483,578",,
2025-04-17,47.10,47.15,46.50,46.70,-0.45,-0.95,"3,636,358",,
2025-04-16,46.85,47.55,46.75,47.15,0.30,0.64,"7,128,615",,
2025-04-15,45.85,47.35,45.80,46.85,1.05,2.29,"5,600,561",,
2025-04-14,45.95,46.05,45.80,45.80,-0.10,-0.22,"2,129,072",,
2025-04-13,45.80,45.95,45.60,45.90,0.35,0.77,"2,107,744",,
2025-04-10,45.70,46.00,45.30,45.55,0.85,1.90,"4,643,833",,
2025-04-09,45.00,45.55,44.50,44.70,-0.30,-0.67,"4,074,262",,
2025-04-08,45.00,45.80,45.00,45.00,0.35,0.78,"4,149,848",,
2025-04-07,43.45,44.75,43.10,44.65,0.70,1.59,"9,130,486",,
2025-04-06,44.25,44.50,43.70,43.95,-2.05,-4.46,"10,827,981",,
2025-04-03,44.70,46.20,44.65,46.00,0.65,1.43,"4,904,632",,
2025-03-27,45.20,45.65,45.20,45.35,0.25,0.55,"2,924,274",,
2025-03-26,44.65,45.30,44.65,45.10,0.65,1.46,"3,497,247",,
2025-03-25,44.80,45.05,44.45,44.45,-0.35,-0.78,"2,469,019",,
2025-03-24,44.10,44.80,44.10,44.80,0.70,1.59,"2,749,683",,
2025-03-23,44.70,44.70,44.10,44.10,-0.60,-1.34,"1,237,827",,
2025-03-20,44.50,44.80,44.25,44.70,0.20,0.45,"4,364,273",,
2025-03-19,44.05,44.50,43.95,44.50,0.50,1.14,"2,979,627",,
2025-03-18,44.50,44.70,43.90,44.00,-0.50,-1.12,"2,299,769",,
2025-03-17,44.05,44.75,43.95,44.50,0.50,1.14,"2,327,596",,
2025-03-16,43.70,44.15,43.55,44.00,0.30,0.69,"1,782,897",,
2025-03-13,44.00,44.00,43.50,43.70,-0.30,-0.68,"3,624,265",,
2025-03-12,44.15,44.40,43.65,44.00,-0.20,-0.45,"3,391,235",,
2025-03-11,43.95,44.30,43.60,44.20,0.00,0.00,"4,888,825",,
2025-03-10,43.90,44.25,43.70,44.20,0.30,0.68,"2,813,064",,
2025-03-09,44.55,44.60,43.80,43.90,-0.70,-1.57,"2,685,473",,
2025-03-06,45.40,45.40,44.05,44.60,-1.05,-2.30,"4,922,066",,
2025-03-05,45.50,45.80,45.15,45.65,0.20,0.44,"4,875,955",,
2025-03-04,45.85,46.10,45.45,45.45,-0.35,-0.76,"4,976,255",,
2025-03-03,45.45,46.25,45.25,45.80,0.30,0.66,"6,121,076",,
2025-03-02,45.25,45.50,44.85,45.50,0.25,0.55,"2,910,600",,
2025-02-27,46.20,46.20,45.25,45.25,-1.05,-2.27,"6,968,441",,
