0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,61.30,62.80,61.10,62.00,1.30,2.14,"161,244",,,,,
2025-05-28,60.80,61.30,60.50,60.70,0.20,0.33,"84,632",,,,,
2025-05-27,62.00,62.10,59.80,60.50,-1.60,-2.58,"189,504",,,,,
2025-05-26,64.10,64.30,61.30,62.10,-2.00,-3.12,"170,303",,,,,
2025-05-25,63.70,64.10,63.00,64.10,0.50,0.79,"65,377",,,,,
2025-05-22,62.80,64.20,62.80,63.60,0.60,0.95,"59,309",,,,,
2025-05-21,64.70,65.30,63.00,63.00,-1.50,-2.33,"83,254",,,,,
2025-05-20,65.90,65.90,64.40,64.50,-0.60,-0.92,"160,232",,,,,
2025-05-19,66.20,66.20,64.00,65.10,-0.90,-1.36,"301,240",,,,,
2025-05-18,67.00,67.70,65.70,66.00,-1.00,-1.49,"179,059",,,,,
2025-05-15,66.40,67.40,65.70,67.00,0.80,1.21,"240,704",,,,,
2025-05-14,64.90,66.20,64.40,66.20,1.30,2.00,"209,282",,,,,
2025-05-13,63.70,65.80,63.50,64.90,1.60,2.53,"336,631",,,,,
2025-05-12,62.00,64.00,62.00,63.30,1.30,2.10,"275,340",,,,,
2025-05-11,62.00,62.40,61.30,62.00,0.00,0.00,"103,098",,,,,
2025-05-08,62.40,62.90,61.60,62.00,0.00,0.00,"139,925",,,,,
2025-05-07,63.10,64.20,61.70,62.00,0.40,0.65,"470,904",,,,,
2025-05-06,61.80,62.70,61.00,61.60,-0.20,-0.32,"113,807",,,,,
2025-05-05,60.80,61.80,60.00,61.80,1.00,1.64,"118,353",,,,,
2025-05-04,62.10,62.10,60.70,60.80,-0.60,-0.98,"67,336",,,,,
2025-05-01,61.90,61.90,61.10,61.40,-0.20,-0.32,"107,494",,,,,
2025-04-30,61.80,62.40,61.50,61.60,-0.30,-0.48,"272,717",,,,,
2025-04-29,62.90,62.90,61.90,61.90,-1.00,-1.59,"178,493",,,,,
2025-04-28,63.30,63.30,62.20,62.90,-0.40,-0.63,"102,010",,,,,
2025-04-27,62.50,63.50,62.40,63.30,0.90,1.44,"82,046",,,,,
2025-04-24,62.70,62.70,61.90,62.40,-0.20,-0.32,"107,827",,,,,
2025-04-23,62.00,62.60,61.80,62.60,1.10,1.79,"181,354",,,,,
2025-04-22,61.60,62.00,60.90,61.50,-0.10,-0.16,"158,907",,,,,
2025-04-21,62.00,62.00,61.40,61.60,-0.40,-0.65,"65,526",,,,,
2025-04-20,61.50,62.80,61.40,62.00,0.50,0.81,"181,555",,,,,
2025-04-17,63.10,63.10,61.00,61.50,-1.70,-2.69,"279,040",,,,,
2025-04-16,63.50,63.80,62.70,63.20,-0.40,-0.63,"72,962",,,,,
2025-04-15,64.50,64.50,63.20,63.60,-0.90,-1.40,"168,527",,,,,
