0,1,2,3,4,5,6,7,8,9
2025-05-29,47.30,47.30,46.20,46.70,-0.30,-0.64,"633,690",,
2025-05-28,46.60,47.55,46.60,47.00,0.50,1.08,"281,624",,
2025-05-27,47.85,47.85,46.35,46.50,-1.20,-2.52,"209,408",,
2025-05-26,47.45,47.70,46.85,47.70,0.35,0.74,"218,967",,
2025-05-25,48.00,48.40,47.35,47.35,-0.65,-1.35,"136,103",,
2025-05-22,48.00,48.15,47.00,48.00,-0.20,-0.41,"221,928",,
2025-05-21,48.25,48.45,47.70,48.20,0.10,0.21,"220,656",,
2025-05-20,48.05,48.70,48.05,48.10,-0.10,-0.21,"213,127",,
2025-05-19,48.65,48.65,47.95,48.20,-0.50,-1.03,"466,669",,
2025-05-18,48.90,49.70,48.65,48.70,-1.05,-2.11,"362,370",,
2025-05-15,50.10,50.20,49.35,49.75,-0.35,-0.70,"307,864",,
2025-05-14,50.40,50.90,50.10,50.10,-0.30,-0.60,"240,204",,
2025-05-13,48.60,50.60,48.55,50.40,1.80,3.70,"610,427",,
2025-05-12,48.25,48.85,48.25,48.60,0.35,0.73,"289,850",,
2025-05-11,49.00,49.50,47.85,48.25,-0.75,-1.53,"327,739",,
2025-05-08,49.00,49.40,48.70,49.00,-0.20,-0.41,"191,549",,
2025-05-07,49.00,49.45,48.70,49.20,0.00,0.00,"157,047",,
2025-05-06,49.40,49.70,48.90,49.20,-0.30,-0.61,"161,365",,
2025-05-05,48.85,49.60,48.65,49.50,0.50,1.02,"225,385",,
2025-05-04,49.55,49.55,48.65,49.00,-0.30,-0.61,"139,769",,
2025-05-01,49.55,49.80,48.90,49.30,-0.50,-1.00,"351,081",,
2025-04-30,50.20,50.40,49.50,49.80,-0.50,-0.99,"487,708",,
2025-04-29,49.55,51.10,49.55,50.30,0.80,1.62,"728,302",,
2025-04-28,49.10,49.75,49.00,49.50,0.30,0.61,"316,603",,
2025-04-27,49.50,49.90,49.10,49.20,-0.10,-0.20,"200,304",,
2025-04-24,48.20,49.40,48.15,49.30,1.10,2.28,"588,405",,
2025-04-23,48.20,48.55,48.05,48.20,0.45,0.94,"230,819",,
2025-04-22,48.40,48.45,47.45,47.75,-0.85,-1.75,"596,335",,
2025-04-21,49.15,49.15,48.50,48.60,-0.60,-1.22,"208,942",,
2025-04-20,48.60,49.25,48.60,49.20,0.55,1.13,"245,412",,
2025-04-17,48.70,49.15,48.10,48.65,-0.25,-0.51,"441,435",,
2025-04-16,48.35,49.15,48.15,48.90,0.30,0.62,"472,656",,
2025-04-15,49.15,49.50,48.40,48.60,-0.50,-1.02,"552,811",,
2025-04-14,49.30,49.35,48.10,49.10,-0.05,-0.10,"1,088,433",,
2025-04-13,48.00,49.25,48.00,49.15,1.20,2.50,"1,175,253",,
2025-04-10,50.00,50.00,47.80,47.95,1.15,2.46,"1,008,964",,
2025-04-09,47.75,48.25,46.65,46.80,-0.95,-1.99,"681,128",,
2025-04-08,49.00,49.50,47.75,47.75,-0.05,-0.10,"818,003",,
2025-04-07,44.70,48.00,43.70,47.80,1.80,3.91,"833,453",,
2025-04-06,48.00,48.70,45.85,46.00,-4.70,-9.27,"708,381",,
2025-04-03,50.30,51.60,50.30,50.70,-0.90,-1.74,"241,798",,
2025-03-27,51.80,52.20,51.50,51.60,-0.10,-0.19,"233,830",,
2025-03-26,50.80,51.80,50.70,51.70,0.70,1.37,"333,801",,
2025-03-25,51.80,52.00,50.90,51.00,-0.80,-1.54,"264,012",,
2025-03-24,51.90,52.30,51.30,51.80,-0.20,-0.38,"305,345",,
2025-03-23,52.30,53.50,52.00,52.00,0.00,0.00,"333,138",,
2025-03-20,51.40,52.60,51.40,52.00,0.70,1.36,"409,757",,
2025-03-19,51.60,52.00,50.70,51.30,0.10,0.20,"465,982",,
2025-03-18,51.60,52.10,50.90,51.20,-0.50,-0.97,"442,453",,
2025-03-17,51.60,53.00,51.00,51.70,0.10,0.19,"707,304",,
2025-03-16,51.50,52.00,50.60,51.60,0.60,1.18,"387,648",,
2025-03-13,49.80,52.50,49.55,51.00,2.50,5.15,"1,220,325",,
2025-03-12,47.40,48.50,47.05,48.50,1.50,3.19,"291,270",,
2025-03-11,46.10,47.30,44.60,47.00,0.75,1.62,"564,870",,
2025-03-10,49.30,49.30,46.25,46.25,-2.60,-5.32,"914,692",,
2025-03-09,49.20,50.00,48.60,48.85,0.10,0.21,"232,320",,
2025-03-06,50.00,50.00,47.80,48.75,-1.00,-2.01,"490,784",,
2025-03-05,50.70,51.20,49.60,49.75,0.40,0.81,"638,698",,
2025-03-04,50.70,50.70,49.20,49.35,-1.65,-3.24,"571,527",,
2025-03-03,50.20,51.00,50.00,51.00,0.90,1.80,"367,823",,
2025-03-02,51.50,52.00,50.00,50.10,-1.70,-3.28,"214,435",,
2025-02-27,51.90,52.20,51.50,51.80,-0.20,-0.38,"223,339",,
2025-02-26,51.50,52.10,51.40,52.00,0.10,0.19,"372,179",,
2025-02-25,52.80,53.00,51.70,51.90,-1.00,-1.89,"557,202",,
2025-02-24,54.00,54.00,52.80,52.90,-1.50,-2.76,"317,944",,
2025-02-20,53.80,54.60,53.20,54.40,0.40,0.74,"262,265",,
2025-02-19,54.90,54.90,53.90,54.00,-1.10,-2.00,"207,833",,
2025-02-18,54.70,55.50,54.40,55.10,0.20,0.36,"261,954",,
2025-02-17,56.20,56.20,54.70,54.90,-1.30,-2.31,"428,374",,
2025-02-16,56.40,56.60,56.10,56.20,-0.20,-0.35,"207,012",,
2025-02-13,56.40,57.10,55.60,56.40,0.00,0.00,"433,132",,
2025-02-12,55.60,57.00,55.50,56.40,0.80,1.44,"544,337",,
2025-02-11,56.20,56.40,55.30,55.60,-0.60,-1.07,"404,321",,
2025-02-10,56.50,57.00,56.00,56.20,-0.30,-0.53,"466,033",,
2025-02-09,56.20,56.80,55.90,56.50,0.20,0.36,"543,238",,
2025-02-06,56.00,57.00,55.70,56.30,0.30,0.54,"766,260",,
2025-02-05,54.10,56.80,53.90,56.00,2.00,3.70,"3,213,871",,
2025-02-04,53.00,54.10,52.90,54.00,1.00,1.89,"488,931",,
2025-02-03,53.30,53.80,52.80,53.00,-0.60,-1.12,"487,860",,
2025-02-02,53.80,54.00,53.40,53.60,-0.20,-0.37,"215,911",,
2025-01-30,53.70,54.00,53.50,53.80,0.20,0.37,"292,739",,
2025-01-29,53.40,53.80,53.20,53.60,0.10,0.19,"247,415",,
2025-01-28,53.80,54.20,53.40,53.50,-0.20,-0.37,"611,285",,
2025-01-27,53.70,55.70,53.60,53.70,0.00,0.00,"1,322,741",,
2025-01-26,54.10,54.70,53.60,53.70,-0.30,-0.56,"431,279",,
2025-01-23,54.20,54.30,53.40,54.00,-0.40,-0.74,"388,285",,
2025-01-22,53.30,54.80,53.20,54.40,1.30,2.45,"1,330,937",,
2025-01-21,51.70,53.40,51.50,53.10,1.40,2.71,"928,931",,
2025-01-20,52.50,52.60,51.60,51.70,-0.70,-1.34,"449,688",,
2025-01-19,52.80,53.00,51.90,52.40,-0.30,-0.57,"308,853",,
2025-01-16,53.50,53.90,52.50,52.70,-0.80,-1.50,"420,805",,
2025-01-15,54.10,54.40,53.40,53.50,-0.80,-1.47,"494,867",,
2025-01-14,52.90,54.30,52.70,54.30,1.60,3.04,"970,053",,
2025-01-13,52.70,53.40,52.60,52.70,0.10,0.19,"339,228",,
2025-01-12,52.80,53.40,52.60,52.60,-0.20,-0.38,"279,933",,
2025-01-09,53.90,55.20,52.60,52.80,-1.00,-1.86,"1,047,536",,
2025-01-08,53.70,54.00,52.80,53.80,0.00,0.00,"711,897",,
2025-01-07,52.80,54.40,52.40,53.80,1.00,1.89,"1,388,922",,
2025-01-06,50.30,52.80,50.20,52.80,2.50,4.97,"1,274,303",,
2025-01-05,50.40,50.50,50.10,50.30,-0.10,-0.20,"149,320",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2025-01-05,50.40,50.50,50.10,50.30,-0.10,-0.20,"149,320",,
2025-01-02,50.80,50.80,49.95,50.40,-0.40,-0.79,"155,853",,
2025-01-01,50.90,51.30,50.50,50.80,-0.30,-0.59,"96,679",,
