0,1,2,3,4,5,6,7,8,9
2025-05-29,14.10,14.40,14.06,14.26,0.18,1.28,"238,887",,
2025-05-28,13.94,14.20,13.94,14.08,0.20,1.44,"269,727",,
2025-05-27,14.10,14.12,13.86,13.88,-0.22,-1.56,"219,724",,
2025-05-26,14.00,14.14,13.82,14.10,0.06,0.43,"231,332",,
2025-05-25,14.26,14.40,13.96,14.04,-0.22,-1.54,"326,224",,
2025-05-22,14.30,14.44,14.10,14.26,-0.14,-0.97,"241,005",,
2025-05-21,14.48,14.52,14.34,14.40,-0.18,-1.23,"230,803",,
2025-05-20,14.48,14.62,14.30,14.58,0.18,1.25,"361,027",,
2025-05-19,14.94,14.94,14.36,14.40,-0.54,-3.61,"779,006",,
2025-05-18,14.86,14.98,14.68,14.94,0.08,0.54,"359,779",,
2025-05-15,15.30,15.30,14.84,14.86,-0.40,-2.62,"475,118",,
2025-05-14,15.04,15.32,14.98,15.26,0.26,1.73,"402,747",,
2025-05-13,15.22,15.28,14.98,15.00,-0.22,-1.45,"531,722",,
2025-05-12,15.10,15.50,15.06,15.22,0.14,0.93,"533,083",,
2025-05-11,15.50,15.58,15.02,15.08,-0.52,-3.33,"434,784",,
2025-05-08,16.20,16.20,15.50,15.60,-0.64,-3.94,"640,225",,
2025-05-07,16.40,16.54,16.24,16.24,-0.32,-1.93,"136,374",,
2025-05-06,16.68,16.68,16.40,16.56,-0.12,-0.72,"131,547",,
2025-05-05,16.32,16.68,16.20,16.68,0.38,2.33,"211,500",,
2025-05-04,16.56,16.72,16.26,16.30,-0.24,-1.45,"210,967",,
2025-05-01,16.40,16.60,16.22,16.54,0.14,0.85,"286,170",,
2025-04-30,16.78,16.96,16.38,16.40,-0.36,-2.15,"233,488",,
2025-04-29,16.98,17.04,16.74,16.76,-0.22,-1.30,"220,348",,
2025-04-28,17.08,17.12,16.80,16.98,-0.10,-0.59,"306,243",,
2025-04-27,17.06,17.18,17.00,17.08,0.10,0.59,"295,954",,
2025-04-24,16.64,16.98,16.58,16.98,0.44,2.66,"421,971",,
2025-04-23,16.74,17.00,16.54,16.54,0.04,0.24,"302,514",,
2025-04-22,16.46,16.60,16.30,16.50,0.00,0.00,"161,801",,
2025-04-21,16.74,16.76,16.42,16.50,-0.26,-1.55,"206,430",,
2025-04-20,16.70,16.84,16.70,16.76,0.08,0.48,"187,102",,
2025-04-17,16.64,16.82,16.50,16.68,0.04,0.24,"277,392",,
2025-04-16,16.78,16.94,16.60,16.64,-0.04,-0.24,"382,425",,
2025-04-15,16.90,17.20,16.64,16.68,-0.18,-1.07,"403,619",,
2025-04-14,16.66,16.88,16.56,16.86,0.20,1.20,"238,455",,
2025-04-13,16.54,16.78,16.54,16.66,0.14,0.85,"307,876",,
2025-04-10,16.40,16.58,16.28,16.52,0.64,4.03,"421,142",,
2025-04-09,16.36,16.40,15.84,15.88,-0.54,-3.29,"367,762",,
2025-04-08,16.12,16.72,16.12,16.42,0.42,2.63,"281,087",,
2025-04-07,14.90,16.24,14.90,16.00,-0.10,-0.62,"815,350",,
2025-04-06,17.30,17.30,16.06,16.10,-1.44,-8.21,"661,282",,
2025-04-03,17.54,17.66,17.32,17.54,0.00,0.00,"199,591",,
2025-03-27,17.60,17.70,17.48,17.54,0.06,0.34,"191,649",,
2025-03-26,17.36,17.62,17.36,17.48,0.12,0.69,"174,547",,
2025-03-25,17.38,17.48,17.28,17.36,-0.02,-0.12,"143,099",,
2025-03-24,17.30,17.46,17.06,17.38,0.08,0.46,"112,566",,
2025-03-23,17.46,17.50,17.30,17.30,-0.14,-0.80,"147,730",,
2025-03-20,17.50,17.56,17.36,17.44,-0.06,-0.34,"252,178",,
2025-03-19,17.14,17.58,17.14,17.50,0.00,0.00,"186,872",,
2025-03-18,17.80,18.14,17.38,17.50,-0.50,-2.78,"714,931",,
2025-03-17,18.16,18.18,17.86,18.00,0.06,0.33,"355,018",,
2025-03-16,17.60,18.04,17.60,17.94,0.34,1.93,"295,875",,
2025-03-13,17.78,17.78,17.58,17.60,0.00,0.00,"168,813",,
2025-03-12,17.64,17.80,17.50,17.60,0.02,0.11,"193,707",,
2025-03-11,17.50,17.60,17.00,17.58,-0.06,-0.34,"530,752",,
2025-03-10,17.36,17.76,17.32,17.64,0.24,1.38,"260,482",,
2025-03-09,17.60,17.66,17.36,17.40,-0.20,-1.14,"283,572",,
2025-03-06,17.96,17.96,17.42,17.60,-0.30,-1.68,"428,953",,
2025-03-05,18.00,18.06,17.78,17.90,-0.10,-0.56,"302,120",,
2025-03-04,18.20,18.26,17.90,18.00,-0.18,-0.99,"202,252",,
2025-03-03,18.20,18.22,17.32,18.18,0.02,0.11,"371,189",,
2025-03-02,18.50,18.56,18.06,18.16,-0.44,-2.37,"290,083",,
2025-02-27,18.78,18.80,18.60,18.60,-0.18,-0.96,"330,542",,
2025-02-26,18.72,18.80,18.50,18.78,0.08,0.43,"193,334",,
2025-02-25,18.80,18.84,18.50,18.70,-0.08,-0.43,"374,568",,
