0,1,2,3,4,5,6,7,8,9,10,11,12
2025-05-29,28.85,29.35,28.70,29.00,0.15,0.52,"160,149",,,,,
2025-05-28,28.70,28.95,28.45,28.85,0.75,2.67,"181,722",,,,,
2025-05-27,28.95,29.00,28.00,28.10,-0.60,-2.09,"367,964",,,,,
2025-05-26,30.05,30.05,28.25,28.70,-1.15,-3.85,"804,817",,,,,
2025-05-25,30.15,30.30,29.60,29.85,-0.25,-0.83,"411,387",,,,,
2025-05-22,29.30,30.25,29.05,30.10,0.85,2.91,"1,055,658",,,,,
2025-05-21,29.30,29.55,28.90,29.25,0.00,0.00,"407,117",,,,,
2025-05-20,29.10,29.55,28.75,29.25,0.15,0.52,"314,511",,,,,
2025-05-19,29.65,29.80,28.80,29.10,-0.55,-1.85,"377,642",,,,,
2025-05-18,29.70,30.20,29.60,29.65,-0.20,-0.67,"127,571",,,,,
2025-05-15,29.85,30.10,29.80,29.85,0.05,0.17,"147,303",,,,,
2025-05-14,30.80,30.80,29.80,29.80,-0.80,-2.61,"315,014",,,,,
2025-05-13,30.00,30.70,30.00,30.60,0.65,2.17,"252,364",,,,,
2025-05-12,30.20,30.35,29.80,29.95,-0.20,-0.66,"222,269",,,,,
2025-05-11,29.45,31.00,29.35,30.15,1.05,3.61,"589,904",,,,,
2025-05-08,29.45,29.45,28.65,29.10,0.00,0.00,"136,330",,,,,
2025-05-07,29.35,30.00,28.80,29.10,-0.25,-0.85,"312,175",,,,,
2025-05-06,28.50,29.80,28.50,29.35,0.60,2.09,"299,674",,,,,
2025-05-05,28.60,28.80,28.10,28.75,0.15,0.52,"139,571",,,,,
2025-05-04,30.00,30.00,28.30,28.60,-0.80,-2.72,"164,831",,,,,
2025-05-01,29.60,29.75,29.00,29.40,-0.25,-0.84,"190,288",,,,,
2025-04-30,30.45,30.70,29.50,29.65,-0.95,-3.10,"261,281",,,,,
2025-04-29,29.85,30.80,29.60,30.60,0.70,2.34,"286,395",,,,,
2025-04-28,29.15,30.20,29.15,29.90,0.70,2.40,"354,462",,,,,
2025-04-27,29.10,29.35,29.00,29.20,0.20,0.69,"141,577",,,,,
2025-04-24,28.90,29.05,28.65,29.00,0.10,0.35,"124,455",,,,,
2025-04-23,29.20,29.45,28.65,28.90,0.15,0.52,"242,242",,,,,
2025-04-22,29.20,29.20,28.60,28.75,-0.55,-1.88,"238,563",,,,,
2025-04-21,29.80,29.95,29.00,29.30,-0.10,-0.34,"201,964",,,,,
2025-04-20,27.90,29.85,27.90,29.40,1.65,5.95,"357,554",,,,,
2025-04-17,28.20,28.40,27.75,27.75,-0.75,-2.63,"212,660",,,,,
2025-04-16,28.30,28.85,28.25,28.50,0.00,0.00,"174,603",,,,,
2025-04-15,29.05,29.10,28.35,28.50,-0.40,-1.38,"167,477",,,,,
2025-04-14,28.95,29.05,28.40,28.90,0.25,0.87,"162,051",,,,,
2025-04-13,28.85,29.30,28.65,28.65,0.35,1.24,"149,311",,,,,
2025-04-10,27.80,28.30,27.10,28.30,2.55,9.90,"1,132,474",,,,,
2025-04-09,27.00,27.50,25.75,25.75,-1.60,-5.85,"809,962",,,,,
2025-04-08,26.60,27.65,26.60,27.35,1.15,4.39,"500,612",,,,,
2025-04-07,26.00,27.00,25.00,26.20,-0.80,-2.96,"856,467",,,,,
2025-04-06,27.20,28.80,27.00,27.00,-2.70,-9.09,"384,974",,,,,
2025-04-03,29.80,29.85,29.15,29.70,-0.40,-1.33,"214,961",,,,,
2025-03-27,30.50,30.50,30.05,30.10,-0.30,-0.99,"145,920",,,,,
2025-03-26,29.75,30.40,29.75,30.40,0.55,1.84,"427,691",,,,,
2025-03-25,29.80,30.25,29.45,29.85,0.05,0.17,"375,983",,,,,
2025-03-24,30.00,30.10,29.20,29.80,-0.20,-0.67,"159,524",,,,,
2025-03-23,29.35,30.00,29.10,30.00,0.65,2.21,"171,859",,,,,
2025-03-20,29.80,29.90,29.20,29.35,-0.35,-1.18,"239,887",,,,,
2025-03-19,30.30,30.35,29.70,29.70,-0.75,-2.46,"129,104",,,,,
2025-03-18,30.15,31.00,29.70,30.45,0.10,0.33,"347,019",,,,,
2025-03-17,30.50,31.20,30.15,30.35,-0.35,-1.14,"285,289",,,,,
2025-03-16,29.50,30.80,29.40,30.70,0.90,3.02,"306,784",,,,,
