0,1,2,3,4,5,6,7,8,9
2025-05-29,269.20,269.40,258.60,259.00,-8.00,-3.00,"621,717",,
2025-05-28,270.00,276.60,267.00,267.00,-3.00,-1.11,"221,167",,
2025-05-27,277.00,280.20,268.20,270.00,-6.00,-2.17,"335,514",,
2025-05-26,251.00,276.00,251.00,276.00,25.00,9.96,"725,259",,
2025-05-25,272.00,272.00,251.00,251.00,-21.20,-7.79,"585,811",,
2025-05-22,273.60,274.60,270.40,272.20,-1.80,-0.66,"324,214",,
2025-05-21,285.00,285.60,270.00,274.00,-12.60,-4.40,"857,712",,
2025-05-20,290.00,294.20,286.60,286.60,-4.00,-1.38,"146,468",,
2025-05-19,290.00,292.20,286.00,290.60,0.60,0.21,"776,115",,
2025-05-18,293.00,295.20,290.00,290.00,-2.80,-0.96,"69,710",,
2025-05-15,298.20,304.00,292.80,292.80,-5.00,-1.68,"214,239",,
2025-05-14,293.80,302.00,291.80,297.80,5.20,1.78,"247,546",,
2025-05-13,297.00,297.00,289.40,292.60,0.60,0.21,"141,796",,
2025-05-12,292.60,298.00,289.60,292.00,4.00,1.39,"223,386",,
2025-05-11,302.00,303.80,287.80,288.00,-11.40,-3.81,"157,490",,
2025-05-08,310.00,312.20,292.40,299.40,1.60,0.54,"290,880",,
2025-05-07,298.00,301.20,295.60,297.80,-1.20,-0.40,"485,803",,
2025-05-06,307.00,309.80,298.00,299.00,-6.00,-1.97,"155,442",,
2025-05-05,306.80,308.20,295.00,305.00,-1.80,-0.59,"798,467",,
2025-05-04,315.20,315.40,306.80,306.80,-7.20,-2.29,"136,725",,
2025-05-01,320.00,320.00,309.40,314.00,-8.00,-2.48,"266,947",,
2025-04-30,322.00,323.40,316.60,322.00,0.40,0.12,"234,280",,
2025-04-29,326.80,326.80,321.60,321.60,-5.00,-1.53,"94,770",,
2025-04-28,327.00,331.60,325.40,326.60,-0.20,-0.06,"102,604",,
2025-04-27,328.00,329.20,326.00,326.80,-2.40,-0.73,"47,096",,
2025-04-24,329.40,330.00,325.80,329.20,-0.80,-0.24,"160,485",,
2025-04-23,321.00,330.00,321.00,330.00,11.60,3.64,"257,231",,
2025-04-22,322.40,323.80,318.40,318.40,-6.00,-1.85,"91,907",,
