0,1,2,3,4,5,6,7,8,9
2025-05-29,138.60,139.60,136.60,138.00,0.00,0.00,"35,409",,
2025-05-28,136.20,138.80,136.20,138.00,1.80,1.32,"35,056",,
2025-05-27,140.00,140.00,136.20,136.20,-4.00,-2.85,"38,446",,
2025-05-26,137.60,140.20,136.00,140.20,0.20,0.14,"73,778",,
2025-05-25,143.00,143.00,139.40,140.00,-3.00,-2.10,"60,191",,
2025-05-22,143.20,145.00,142.60,143.00,-0.80,-0.56,"50,479",,
2025-05-21,143.00,145.40,142.80,143.80,0.80,0.56,"75,488",,
2025-05-20,143.00,144.00,141.60,143.00,0.20,0.14,"142,951",,
2025-05-19,145.00,145.40,142.60,142.80,-2.00,-1.38,"113,516",,
2025-05-18,145.60,147.20,143.00,144.80,-0.60,-0.41,"90,683",,
2025-05-15,148.60,148.60,143.60,145.40,-3.20,-2.15,"169,737",,
2025-05-14,155.00,155.00,147.60,148.60,-5.40,-3.51,"224,548",,
2025-05-13,154.40,156.00,153.40,154.00,-0.20,-0.13,"73,374",,
2025-05-12,155.40,156.60,152.40,154.20,-0.80,-0.52,"118,060",,
2025-05-11,158.40,159.20,154.80,155.00,-3.20,-2.02,"45,360",,
2025-05-08,158.00,158.60,155.60,158.20,1.40,0.89,"43,403",,
2025-05-07,155.20,157.80,155.00,156.80,1.20,0.77,"48,080",,
2025-05-06,158.40,159.60,155.60,155.60,-2.20,-1.39,"55,397",,
2025-05-05,155.00,158.00,154.60,157.80,1.80,1.15,"73,955",,
2025-05-04,158.20,158.20,154.80,156.00,-2.40,-1.52,"37,822",,
2025-05-01,162.00,162.00,157.20,158.40,-3.60,-2.22,"58,208",,
2025-04-30,162.20,163.00,160.20,162.00,-0.40,-0.25,"58,251",,
2025-04-29,159.00,163.40,157.80,162.40,3.40,2.14,"78,149",,
2025-04-28,158.40,159.80,157.80,159.00,0.60,0.38,"53,099",,
2025-04-27,159.60,159.80,158.20,158.40,-1.60,-1.00,"19,452",,
2025-04-24,158.20,160.00,157.80,160.00,2.20,1.39,"26,520",,
2025-04-23,159.80,160.40,157.00,157.80,-0.40,-0.25,"43,574",,
2025-04-22,156.00,159.40,154.00,158.20,1.60,1.02,"57,092",,
2025-04-21,160.00,160.00,156.20,156.60,-3.40,-2.13,"32,019",,
2025-04-20,158.40,160.60,158.40,160.00,3.20,2.04,"51,744",,
2025-04-17,156.20,158.00,155.40,156.80,-0.80,-0.51,"39,694",,
2025-04-16,158.60,159.20,157.00,157.60,-1.60,-1.01,"48,938",,
2025-04-15,160.00,160.80,158.60,159.20,0.20,0.13,"61,086",,
2025-04-14,155.60,160.00,154.40,159.00,3.00,1.92,"81,295",,
