0,1,2,3,4,5,6,7,8,9
2025-05-29,23.50,23.92,23.50,23.66,0.32,1.37,"1,093,855",,
2025-05-28,23.58,23.92,23.32,23.34,-0.10,-0.43,"972,420",,
2025-05-27,24.80,24.94,23.44,23.44,-1.30,-5.25,"1,802,979",,
2025-05-26,25.10,25.90,24.36,24.74,-0.26,-1.04,"1,537,884",,
2025-05-25,25.60,25.90,25.00,25.00,-0.60,-2.34,"823,915",,
2025-05-22,25.40,26.30,25.15,25.60,-0.10,-0.39,"1,789,588",,
2025-05-21,26.55,26.60,25.60,25.70,-0.75,-2.84,"1,711,252",,
2025-05-20,25.55,26.85,25.55,26.45,1.00,3.93,"4,541,972",,
2025-05-19,26.00,26.45,25.15,25.45,-0.55,-2.12,"2,742,512",,
2025-05-18,25.20,27.30,25.20,26.00,1.14,4.59,"12,064,547",,
2025-05-15,24.86,24.86,24.26,24.86,2.26,10.00,"8,613,560",,
2025-05-14,22.20,22.62,22.18,22.60,0.40,1.80,"569,680",,
2025-05-13,22.28,22.36,22.02,22.20,-0.04,-0.18,"255,768",,
2025-05-12,21.92,22.46,21.92,22.24,0.34,1.55,"431,665",,
2025-05-11,22.10,22.38,21.80,21.90,-0.08,-0.36,"355,911",,
2025-05-08,22.00,22.10,21.80,21.98,-0.02,-0.09,"479,281",,
2025-05-07,22.50,22.50,21.90,22.00,-0.50,-2.22,"405,461",,
2025-05-06,22.52,22.70,22.34,22.50,-0.12,-0.53,"370,333",,
2025-05-05,22.40,22.74,22.12,22.62,0.14,0.62,"482,696",,
2025-05-04,22.76,23.00,22.46,22.48,-0.22,-0.97,"405,876",,
2025-05-01,22.90,23.18,22.60,22.70,-0.12,-0.53,"669,092",,
2025-04-30,23.22,23.22,22.70,22.82,-0.38,-1.64,"950,021",,
2025-04-29,23.08,24.22,23.04,23.20,0.12,0.52,"3,336,580",,
2025-04-28,23.08,23.30,22.94,23.08,-0.10,-0.43,"640,993",,
2025-04-27,23.24,23.34,23.02,23.18,0.08,0.35,"690,432",,
2025-04-24,23.10,23.44,23.02,23.10,0.06,0.26,"735,383",,
2025-04-23,23.06,23.80,23.04,23.04,0.12,0.52,"1,376,031",,
2025-04-22,23.02,23.32,22.68,22.92,-0.28,-1.21,"875,602",,
2025-04-21,23.66,23.66,23.14,23.20,-0.48,-2.03,"1,017,632",,
2025-04-20,23.00,24.18,23.00,23.68,0.86,3.77,"2,992,549",,
2025-04-17,23.00,23.44,22.48,22.82,-0.18,-0.78,"1,437,293",,
2025-04-16,23.30,23.82,22.84,23.00,-0.24,-1.03,"1,543,404",,
2025-04-15,22.88,24.40,22.80,23.24,0.62,2.74,"5,515,197",,
2025-04-14,20.68,22.62,20.40,22.62,2.04,9.91,"4,604,188",,
2025-04-13,20.08,20.84,19.98,20.58,0.88,4.47,"1,364,521",,
2025-04-10,19.68,19.72,19.22,19.70,1.20,6.49,"1,281,381",,
2025-04-09,18.70,19.20,18.40,18.50,-0.58,-3.04,"674,764",,
2025-04-08,18.60,19.40,18.60,19.08,0.54,2.91,"925,130",,
2025-04-07,16.62,18.74,16.62,18.54,0.12,0.65,"1,202,025",,
2025-04-06,18.80,19.12,18.42,18.42,-2.04,-9.97,"966,923",,
2025-04-03,21.04,21.22,20.38,20.46,-0.72,-3.40,"664,496",,
2025-03-27,20.96,21.34,20.68,21.18,0.38,1.83,"756,698",,
2025-03-26,20.44,21.14,20.42,20.80,0.38,1.86,"642,061",,
2025-03-25,20.78,20.80,20.38,20.42,-0.36,-1.73,"287,084",,
2025-03-24,20.70,20.88,20.36,20.78,0.12,0.58,"295,939",,
2025-03-23,21.00,21.06,20.60,20.66,-0.24,-1.15,"227,215",,
2025-03-20,21.00,21.18,20.76,20.90,0.00,0.00,"304,434",,
2025-03-19,20.88,21.14,20.20,20.90,0.02,0.10,"542,006",,
2025-03-18,21.44,21.58,20.82,20.88,-0.56,-2.61,"444,164",,
2025-03-17,21.80,22.08,21.44,21.44,-0.38,-1.74,"868,957",,
2025-03-16,21.98,22.50,21.74,21.82,-0.16,-0.73,"903,103",,
2025-03-13,21.26,22.00,21.24,21.98,0.72,3.39,"751,944",,
2025-03-12,21.60,21.64,21.24,21.26,-0.08,-0.37,"529,645",,
2025-03-11,20.02,21.68,19.28,21.34,0.94,4.61,"1,919,009",,
2025-03-10,20.92,21.70,20.30,20.40,-0.50,-2.39,"1,078,117",,
2025-03-09,21.92,22.22,20.90,20.90,-1.00,-4.57,"779,913",,
2025-03-06,22.36,22.50,21.74,21.90,-0.48,-2.14,"722,496",,
2025-03-05,23.38,23.50,22.20,22.38,-0.94,-4.03,"849,205",,
2025-03-04,23.78,23.80,23.30,23.32,-0.46,-1.93,"510,819",,
2025-03-03,23.90,24.12,23.46,23.78,-0.12,-0.50,"646,106",,
2025-03-02,25.00,25.00,23.90,23.90,-1.06,-4.25,"514,883",,
2025-02-27,25.00,25.30,24.80,24.96,-0.19,-0.76,"468,548",,
2025-02-26,26.00,26.05,24.96,25.15,-0.60,-2.33,"805,538",,
2025-02-25,24.32,26.30,24.28,25.75,1.43,5.88,"2,604,246",,
2025-02-24,25.10,25.15,24.32,24.32,-0.83,-3.30,"943,558",,
2025-02-20,25.55,25.60,25.10,25.15,-0.40,-1.57,"600,302",,
2025-02-19,26.05,26.05,25.50,25.55,-0.45,-1.73,"650,090",,
2025-02-18,26.10,26.25,25.90,26.00,-0.10,-0.38,"446,496",,
2025-02-17,26.50,26.55,26.00,26.10,-0.40,-1.51,"620,134",,
2025-02-16,26.85,27.05,26.45,26.50,-0.35,-1.30,"563,038",,
2025-02-13,26.60,27.05,26.40,26.85,0.25,0.94,"739,338",,
2025-02-12,26.95,27.05,26.50,26.60,-0.35,-1.30,"595,236",,
2025-02-11,27.15,27.20,26.95,26.95,-0.20,-0.74,"675,300",,
2025-02-10,27.40,27.40,27.05,27.15,-0.25,-0.91,"602,711",,
2025-02-09,27.40,28.00,27.35,27.40,0.25,0.92,"1,661,174",,
2025-02-06,27.15,27.25,27.00,27.15,0.00,0.00,"441,833",,
2025-02-05,27.20,27.35,27.10,27.15,-0.05,-0.18,"445,512",,
2025-02-04,27.15,27.50,27.00,27.20,0.05,0.18,"634,090",,
2025-02-03,27.35,27.35,27.00,27.15,-0.25,-0.91,"536,258",,
2025-02-02,27.70,27.70,27.35,27.40,-0.20,-0.72,"448,052",,
2025-01-30,27.40,27.75,27.30,27.60,0.20,0.73,"551,181",,
2025-01-29,27.65,27.65,27.30,27.40,-0.15,-0.54,"466,587",,
2025-01-28,27.50,27.65,27.45,27.55,0.05,0.18,"474,181",,
2025-01-27,27.75,27.75,27.45,27.50,-0.15,-0.54,"542,366",,
2025-01-26,27.55,27.80,27.55,27.65,0.10,0.36,"483,852",,
2025-01-23,27.75,27.80,27.50,27.55,-0.20,-0.72,"645,724",,
2025-01-22,27.70,27.90,27.45,27.75,0.05,0.18,"830,214",,
2025-01-21,28.35,28.55,27.45,27.70,-0.70,-2.46,"3,447,644",,
2025-01-20,28.75,28.95,28.35,28.40,-0.30,-1.05,"1,661,568",,
2025-01-19,28.30,28.90,28.25,28.70,0.45,1.59,"1,278,452",,
2025-01-16,28.55,28.55,28.10,28.25,-0.15,-0.53,"828,325",,
2025-01-15,28.35,28.80,28.20,28.40,0.05,0.18,"2,315,759",,
2025-01-14,27.90,28.45,27.75,28.35,0.45,1.61,"749,107",,
2025-01-13,28.40,28.50,27.90,27.90,-0.45,-1.59,"745,873",,
2025-01-12,28.25,28.75,28.25,28.35,0.10,0.35,"1,180,789",,
2025-01-09,28.45,28.50,27.95,28.25,-0.20,-0.70,"1,172,745",,
2025-01-08,27.80,28.55,27.55,28.45,0.75,2.71,"1,551,909",,
2025-01-07,27.60,28.15,27.55,27.70,0.05,0.18,"1,256,792",,
2025-01-06,27.45,27.80,27.45,27.65,0.10,0.36,"588,810",,
2025-01-05,27.65,27.90,27.50,27.55,-0.05,-0.18,"430,989",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
