0,1,2,3,4,5,6,7,8,9
2025-05-29,76.70,78.50,76.10,77.80,1.20,1.57,"194,880",,
2025-05-28,76.50,77.90,75.00,76.60,0.10,0.13,"77,881",,
2025-05-27,76.20,76.50,73.90,76.50,0.00,0.00,"77,813",,
2025-05-26,77.40,78.20,76.00,76.50,-1.10,-1.42,"57,157",,
2025-05-25,78.40,79.00,77.00,77.60,-0.80,-1.02,"21,207",,
2025-05-22,77.60,78.60,77.60,78.40,-0.60,-0.76,"24,163",,
2025-05-21,80.30,80.30,78.00,79.00,-1.00,-1.25,"33,214",,
2025-05-20,77.00,81.00,77.00,80.00,3.20,4.17,"114,842",,
2025-05-19,80.90,80.90,76.80,76.80,-3.80,-4.71,"96,557",,
2025-05-18,80.40,81.50,80.40,80.60,0.10,0.12,"27,479",,
2025-05-15,81.10,81.20,80.40,80.50,-0.50,-0.62,"42,803",,
2025-05-14,81.40,81.70,80.50,81.00,0.00,0.00,"62,556",,
2025-05-13,81.00,81.40,80.50,81.00,-0.70,-0.86,"47,642",,
2025-05-12,81.00,82.50,81.00,81.70,0.70,0.86,"69,889",,
2025-05-11,81.10,82.00,80.60,81.00,-0.20,-0.25,"19,439",,
2025-05-08,81.80,82.10,79.80,81.20,-0.60,-0.73,"59,577",,
2025-05-07,82.70,83.50,81.70,81.80,-0.90,-1.09,"53,589",,
2025-05-06,83.30,84.00,82.30,82.70,-0.90,-1.08,"40,214",,
2025-05-05,83.20,84.50,82.20,83.60,-0.40,-0.48,"46,224",,
2025-05-04,86.60,86.60,83.50,84.00,-2.60,-3.00,"43,194",,
2025-05-01,88.50,88.50,86.20,86.60,-1.90,-2.15,"56,933",,
2025-04-30,90.30,90.30,87.30,88.50,-1.80,-1.99,"61,551",,
2025-04-29,88.60,91.40,88.40,90.30,1.70,1.92,"117,896",,
2025-04-28,89.70,89.70,88.30,88.60,-0.90,-1.01,"52,077",,
2025-04-27,90.00,90.00,89.40,89.50,-0.40,-0.44,"41,331",,
2025-04-24,90.10,90.20,89.50,89.90,-0.40,-0.44,"56,222",,
2025-04-23,91.10,91.90,89.50,90.30,-0.70,-0.77,"64,343",,
2025-04-22,91.00,92.20,89.20,91.00,0.40,0.44,"706,983",,
2025-04-21,91.20,91.20,89.40,90.60,-0.60,-0.66,"276,296",,
2025-04-20,91.40,92.40,90.80,91.20,0.70,0.77,"213,606",,
2025-04-17,89.70,90.80,88.00,90.50,0.80,0.89,"72,667",,
2025-04-16,90.40,91.50,89.70,89.70,-1.50,-1.64,"66,144",,
2025-04-15,91.00,91.90,90.50,91.20,0.10,0.11,"53,976",,
2025-04-14,90.30,92.00,89.70,91.10,1.90,2.13,"133,760",,
2025-04-13,88.50,89.60,87.90,89.20,0.90,1.02,"35,695",,
2025-04-10,90.10,90.40,88.10,88.30,1.30,1.49,"71,409",,
2025-04-09,89.00,89.70,86.00,87.00,-2.00,-2.25,"39,264",,
2025-04-08,89.00,90.20,87.80,89.00,0.80,0.91,"154,151",,
2025-04-07,85.00,90.00,80.00,88.20,3.20,3.76,"124,022",,
2025-04-06,88.00,89.60,83.00,85.00,-5.90,-6.49,"76,880",,
2025-04-03,93.00,93.00,90.50,90.90,-2.10,-2.26,"40,251",,
2025-03-27,94.20,94.40,92.40,93.00,-0.70,-0.75,"30,103",,
2025-03-26,93.00,94.20,92.70,93.70,0.90,0.97,"47,114",,
2025-03-25,92.80,93.40,91.70,92.80,-0.10,-0.11,"27,110",,
2025-03-24,95.50,95.50,91.80,92.90,-2.60,-2.72,"63,740",,
2025-03-23,96.20,96.20,95.10,95.50,-0.70,-0.73,"14,782",,
2025-03-20,94.20,96.20,93.90,96.20,1.50,1.58,"43,185",,
2025-03-19,95.00,95.80,93.40,94.70,-1.10,-1.15,"70,212",,
2025-03-18,94.10,95.80,93.50,95.80,1.70,1.81,"96,938",,
2025-03-17,95.00,96.40,94.10,94.10,-0.10,-0.11,"91,995",,
2025-03-16,90.60,95.00,90.60,94.20,3.30,3.63,"843,155",,
2025-03-13,91.10,91.70,90.20,90.90,-0.70,-0.76,"35,228",,
2025-03-12,92.00,92.40,90.80,91.60,-0.40,-0.43,"22,767",,
2025-03-11,91.10,92.30,88.10,92.00,-0.40,-0.43,"50,673",,
2025-03-10,93.00,93.80,91.50,92.40,-0.60,-0.65,"50,936",,
2025-03-09,95.00,95.00,91.00,93.00,0.20,0.22,"80,880",,
2025-03-06,96.00,96.60,91.00,92.80,-3.80,-3.93,"120,671",,
2025-03-05,101.00,101.00,95.00,96.60,-3.80,-3.78,"72,945",,
2025-03-04,101.00,101.20,98.80,100.40,-1.20,-1.18,"65,516",,
2025-03-03,100.80,102.20,100.00,101.60,0.80,0.79,"40,025",,
2025-03-02,103.00,103.20,100.00,100.80,-2.60,-2.51,"182,825",,
2025-02-27,104.20,105.60,103.40,103.40,-1.60,-1.52,"52,307",,
2025-02-26,104.40,105.20,103.80,105.00,0.80,0.77,"41,609",,
2025-02-25,104.40,105.60,103.40,104.20,-0.20,-0.19,"49,245",,
2025-02-24,106.60,106.60,104.40,104.40,-1.20,-1.14,"33,620",,
2025-02-20,107.00,107.60,104.80,105.60,-1.40,-1.31,"64,864",,
2025-02-19,105.80,107.00,104.20,107.00,0.60,0.56,"67,221",,
2025-02-18,108.80,109.00,106.20,106.40,-2.60,-2.39,"45,860",,
2025-02-17,110.60,110.80,107.60,109.00,-2.40,-2.15,"85,822",,
2025-02-16,109.20,112.40,109.00,111.40,-1.60,-1.42,"77,171",,
2025-02-13,116.00,116.40,112.20,113.00,-2.60,-2.25,"55,152",,
2025-02-12,112.40,117.20,112.40,115.60,3.40,3.03,"251,584",,
2025-02-11,109.00,114.20,109.00,112.20,2.80,2.56,"176,903",,
2025-02-10,110.20,111.20,108.60,109.40,-0.60,-0.55,"64,880",,
