0,1,2,3,4,5,6,7,8,9
2025-05-29,14.20,14.24,14.12,14.16,0.02,0.14,"3,641,785",,
2025-05-28,14.26,14.30,14.14,14.14,-0.08,-0.56,"1,554,445",,
2025-05-27,14.44,14.46,14.14,14.22,-0.22,-1.52,"1,777,950",,
2025-05-26,14.36,14.52,14.34,14.44,0.06,0.42,"1,905,466",,
2025-05-25,14.46,14.48,14.30,14.38,-0.08,-0.55,"1,024,453",,
2025-05-22,14.36,14.46,14.26,14.46,0.10,0.70,"2,913,826",,
2025-05-21,14.34,14.44,14.24,14.36,0.08,0.56,"2,223,659",,
2025-05-20,14.32,14.34,14.20,14.28,-0.06,-0.42,"2,284,552",,
2025-05-19,14.38,14.40,14.26,14.34,-0.04,-0.28,"1,243,836",,
2025-05-18,14.36,14.40,14.24,14.38,0.02,0.14,"1,302,015",,
2025-05-15,14.48,14.50,14.20,14.36,-0.08,-0.55,"2,998,699",,
2025-05-14,14.48,14.56,14.40,14.44,-0.74,-4.87,"3,986,678",,
2025-05-13,15.16,15.18,15.04,15.18,0.04,0.26,"3,877,408",,
2025-05-12,15.06,15.14,15.00,15.14,0.10,0.66,"2,189,478",,
2025-05-11,14.96,15.06,14.90,15.04,0.16,1.08,"1,426,475",,
2025-05-08,14.86,14.94,14.80,14.88,0.06,0.40,"2,067,651",,
2025-05-07,14.98,15.00,14.82,14.82,-0.16,-1.07,"2,541,296",,
2025-05-06,14.90,15.00,14.90,14.98,0.08,0.54,"1,496,152",,
2025-05-05,14.94,14.96,14.84,14.90,-0.06,-0.40,"2,613,649",,
2025-05-04,15.00,15.06,14.96,14.96,0.00,0.00,"1,238,561",,
2025-05-01,14.92,15.02,14.88,14.96,-0.02,-0.13,"1,754,238",,
2025-04-30,15.00,15.04,14.86,14.98,-0.02,-0.13,"3,584,563",,
2025-04-29,15.28,15.28,15.00,15.00,-0.26,-1.70,"3,439,550",,
2025-04-28,15.28,15.28,15.18,15.26,-0.02,-0.13,"1,260,215",,
2025-04-27,15.16,15.32,15.10,15.28,0.14,0.92,"1,763,845",,
2025-04-24,15.06,15.14,15.04,15.14,0.08,0.53,"2,568,214",,
2025-04-23,15.08,15.16,15.04,15.06,0.02,0.13,"1,637,396",,
2025-04-22,14.92,15.04,14.92,15.04,0.08,0.53,"1,763,801",,
2025-04-21,15.02,15.02,14.94,14.96,-0.06,-0.40,"896,882",,
2025-04-20,14.96,15.04,14.94,15.02,0.12,0.81,"935,965",,
2025-04-17,15.04,15.06,14.90,14.90,-0.14,-0.93,"2,074,093",,
2025-04-16,15.00,15.04,14.92,15.04,0.08,0.53,"1,404,047",,
2025-04-15,14.98,15.08,14.96,14.96,-0.02,-0.13,"2,217,024",,
2025-04-14,15.06,15.08,14.80,14.98,0.00,0.00,"1,792,891",,
2025-04-13,15.28,15.28,14.98,14.98,0.04,0.27,"2,068,631",,
2025-04-10,14.98,15.06,14.84,14.94,0.30,2.05,"4,319,899",,
2025-04-09,14.80,14.88,14.48,14.64,-0.16,-1.08,"3,085,140",,
2025-04-08,14.68,14.92,14.58,14.80,0.18,1.23,"3,749,508",,
2025-04-07,14.60,14.78,13.96,14.62,0.00,0.00,"5,611,596",,
2025-04-06,15.38,15.40,14.62,14.62,-1.08,-6.88,"4,926,299",,
2025-04-03,15.94,15.96,15.70,15.70,-0.26,-1.63,"2,355,350",,
2025-03-27,15.90,15.96,15.80,15.96,0.06,0.38,"1,393,893",,
2025-03-26,15.72,15.90,15.72,15.90,0.18,1.15,"1,668,769",,
2025-03-25,15.88,15.90,15.72,15.72,-0.10,-0.63,"1,623,961",,
2025-03-24,15.90,15.94,15.80,15.82,-0.08,-0.50,"971,065",,
2025-03-23,15.80,15.96,15.72,15.90,0.10,0.63,"719,609",,
2025-03-20,15.86,15.88,15.72,15.80,-0.06,-0.38,"1,659,727",,
2025-03-19,15.88,15.90,15.70,15.86,-0.14,-0.88,"1,777,270",,
2025-03-18,16.08,16.10,15.90,16.00,-0.08,-0.50,"977,328",,
2025-03-17,15.92,16.10,15.90,16.08,0.18,1.13,"1,009,854",,
2025-03-16,15.86,15.92,15.84,15.90,0.04,0.25,"724,982",,
2025-03-13,15.80,15.86,15.72,15.86,0.06,0.38,"1,656,825",,
2025-03-12,15.86,15.90,15.76,15.80,-0.04,-0.25,"2,214,348",,
2025-03-11,16.06,16.06,15.84,15.84,-0.26,-1.61,"1,849,042",,
2025-03-10,16.06,16.16,15.94,16.10,0.04,0.25,"1,261,659",,
2025-03-09,16.02,16.26,16.00,16.06,0.10,0.63,"954,811",,
2025-03-06,16.50,16.50,15.92,15.96,-0.50,-3.04,"2,754,396",,
2025-03-05,16.60,16.64,16.46,16.46,-0.14,-0.84,"1,959,134",,
2025-03-04,16.82,16.90,16.60,16.60,-0.26,-1.54,"1,233,856",,
2025-03-03,16.66,16.92,16.54,16.86,0.10,0.60,"985,482",,
2025-03-02,16.86,16.88,16.60,16.76,0.12,0.72,"776,394",,
2025-02-27,16.90,16.90,16.64,16.64,-0.26,-1.54,"2,139,077",,
2025-02-26,17.00,17.02,16.76,16.90,-0.10,-0.59,"1,647,083",,
2025-02-25,17.10,17.10,16.94,17.00,-0.14,-0.82,"862,725",,
2025-02-24,17.16,17.16,17.04,17.14,-0.02,-0.12,"1,303,852",,
2025-02-20,17.08,17.22,17.02,17.16,0.10,0.59,"839,286",,
2025-02-19,17.00,17.12,17.00,17.06,0.02,0.12,"581,120",,
2025-02-18,17.00,17.06,16.94,17.04,0.08,0.47,"1,392,600",,
2025-02-17,17.18,17.18,16.96,16.96,-0.26,-1.51,"1,247,333",,
2025-02-16,17.16,17.26,17.12,17.22,-0.06,-0.35,"496,219",,
2025-02-13,17.12,17.28,17.10,17.28,0.14,0.82,"397,770",,
2025-02-12,17.14,17.18,17.08,17.14,-0.08,-0.46,"353,115",,
2025-02-11,17.28,17.28,17.08,17.22,-0.08,-0.46,"583,656",,
2025-02-10,17.26,17.30,17.14,17.30,0.04,0.23,"689,274",,
2025-02-09,17.32,17.32,17.20,17.26,-0.06,-0.35,"257,207",,
2025-02-06,17.30,17.36,17.18,17.32,0.02,0.12,"1,083,445",,
2025-02-05,17.06,17.30,17.04,17.30,0.28,1.65,"1,303,578",,
2025-02-04,17.10,17.16,17.00,17.02,-0.08,-0.47,"1,206,175",,
2025-02-03,17.10,17.14,17.00,17.10,-0.06,-0.35,"659,204",,
