0,1,2,3,4,5,6,7,8,9
2025-05-29,40.20,40.45,39.85,40.45,0.40,1.00,"173,365",,
2025-05-28,39.70,40.25,39.50,40.05,0.35,0.88,"271,960",,
2025-05-27,40.50,40.50,39.50,39.70,-0.85,-2.10,"272,080",,
2025-05-26,40.75,41.05,39.90,40.55,-0.25,-0.61,"201,688",,
2025-05-25,41.35,41.35,40.60,40.80,-0.55,-1.33,"129,312",,
2025-05-22,41.35,41.35,40.95,41.35,0.00,0.00,"210,679",,
2025-05-21,42.05,42.35,41.30,41.35,-0.90,-2.13,"598,507",,
2025-05-20,41.85,42.25,41.80,42.25,0.60,1.44,"308,657",,
2025-05-19,42.05,42.40,41.65,41.65,-0.70,-1.65,"519,417",,
2025-05-18,42.10,42.65,42.10,42.35,0.15,0.36,"185,025",,
2025-05-15,42.60,42.60,42.00,42.20,-0.50,-1.17,"372,161",,
2025-05-14,42.35,42.80,42.00,42.70,0.45,1.07,"480,600",,
2025-05-13,42.45,42.75,42.25,42.25,-0.05,-0.12,"387,272",,
2025-05-12,42.35,42.85,41.90,42.30,0.20,0.48,"569,472",,
2025-05-11,41.75,42.15,41.75,42.10,0.40,0.96,"279,771",,
2025-05-08,44.15,44.70,41.50,41.70,-0.20,-0.48,"2,302,203",,
2025-05-07,41.55,41.90,40.70,41.90,0.10,0.24,"294,731",,
2025-05-06,42.10,42.15,41.40,41.80,-0.30,-0.71,"330,913",,
2025-05-05,42.70,42.70,41.80,42.10,-0.80,-1.86,"355,332",,
2025-05-04,43.00,43.55,42.60,42.90,-0.30,-0.69,"186,695",,
2025-05-01,43.65,43.95,43.20,43.20,-0.60,-1.37,"156,227",,
2025-04-30,45.45,45.45,43.80,43.80,-1.70,-3.74,"527,546",,
2025-04-29,46.35,46.50,45.20,45.50,-0.85,-1.83,"195,968",,
2025-04-28,46.25,46.40,45.70,46.35,0.15,0.32,"242,420",,
2025-04-27,46.90,47.00,46.15,46.20,-0.65,-1.39,"119,396",,
2025-04-24,46.05,46.85,45.55,46.85,0.85,1.85,"480,091",,
2025-04-23,45.00,46.00,45.00,46.00,1.10,2.45,"297,863",,
2025-04-22,44.00,45.00,43.85,44.90,0.85,1.93,"398,698",,
2025-04-21,44.05,44.30,43.95,44.05,0.00,0.00,"170,944",,
2025-04-20,43.90,44.45,43.90,44.05,0.10,0.23,"108,606",,
2025-04-17,43.75,44.30,43.60,43.95,0.15,0.34,"229,496",,
2025-04-16,44.20,44.40,43.60,43.80,-0.40,-0.90,"200,477",,
2025-04-15,44.45,44.70,43.80,44.20,-0.15,-0.34,"389,469",,
2025-04-14,44.55,45.30,43.80,44.35,-0.20,-0.45,"395,438",,
2025-04-13,43.95,44.60,43.95,44.55,0.80,1.83,"178,162",,
2025-04-10,43.30,44.00,42.75,43.75,1.70,4.04,"492,054",,
