Firm,Sector,Super Sector,Start_Price,End_Price,Pct_Change
ACWA POWER Co.,Utilities,Utilities,72.65,401.4,452.51204404679964
AL Maather REIT Fund,REITs,Real Estate,8.77,9.48,8.095781071835814
ARTEX Industrial Investment Co.,Consumer Durables & Apparel,Consumer Discretionary,12.22,15.98,30.769230769230766
AYYAN Investment Co.,Health Care Equipment & Svc,Healthcare,10.29,15.14,47.133138969873684
Abdullah Al Othaim Markets Co.,Consumer Staples Distribution & Retail,Consumer Discretionary,8.25,10.5,27.27272727272727
Abdullah Saad Mohammed Abo Moati for Bookstores Co.,Consumer Discretionary Distribution & Retail,Consumer Discretionary,18.96,31.0,63.50210970464134
Ades Holding Co.,Energy,Energy,17.54,17.36,-1.0262257696693258
Advanced Petrochemical Co.,Materials,Industrial,41.32,32.1,-22.313649564375602
Al Gassim Investment Holding Co.,Food & Beverages,Consumer Staples,11.2,18.58,65.89285714285714
Al Hammadi Holding,Health Care Equipment & Svc,Healthcare,15.85,38.4,142.2712933753943
Al Hassan Ghazi Ibrahim Shaker Co.,Capital Goods,Financial Services,12.35,27.05,119.02834008097167
Al Jouf Cement Co.,Materials,Industrial,12.94,10.28,-20.5564142194745
Al Majed Oud Co.,Household & Personal Products,Consumer Staples,122.2,146.0,19.47626841243862
Al Moammar Information Systems Co.,Software & Services,Information Technology,24.22,163.0,572.9975227085055
Al Rajhi Bank,Banks,Financial Services,40.7,94.6,132.43243243243242
Al Rajhi REIT Fund,REITs,Real Estate,9.66,8.36,-13.457556935817813
Al Sagr Cooperative Insurance Co.,Insurance,Financial Services,19.38,17.54,-9.494324045407636
Al Taiseer Group Talco Industrial Co.,Capital Goods,Financial Services,49.2,55.4,12.601626016260154
Al Yamamah Steel Industries Co.,Materials,Industrial,19.04,33.45,75.68277310924371
Al-Ahlia Insurance Co.,Insurance,Financial Services,11.24,14.76,31.316725978647682
Al-Babtain Power and Telecommunication Co.,Capital Goods,Financial Services,18.1,39.0,115.46961325966849
Al-Baha Investment and Development Co.,Financial Services,Financial Services,1.8,4.7,161.11111111111111
Al-Etihad Cooperative Insurance Co.,Insurance,Financial Services,11.79,17.4,47.58269720101781
Al-Jouf Agricultural Development Co.,Food & Beverages,Consumer Staples,22.5,59.6,164.88888888888889
Al-Omran Industrial Trading Co.,Capital Goods,Financial Services,51.97,38.85,-25.245333846449867
Al-Rajhi Company for Cooperative Insurance,Insurance,Financial Services,25.2,171.6,580.952380952381
