Sector,Mean_Change,Median_Change,Std_Dev,Num_Firms
Banks,35.79913439708703,21.548117154811724,42.52093420839009,11
Capital Goods,171.03292147340932,18.8566201658218,345.9896386214938,16
Commercial & Professional,-12.196255917567075,-19.230769230769234,42.223272422385676,7
Consumer Discretionary Distribution & Retail,4.983809155494489,-21.96601941747573,66.69361102897646,9
Consumer Durables & Apparel,155.75235963212683,105.05260359830996,180.54052172740666,6
Consumer Services,153.04377885962703,-22.262773722627745,458.12527135084434,15
Consumer Staples Distribution & Retail,-10.090785793395069,-2.4267869535045055,29.0169310194897,8
Energy,23.242692924911548,41.11111111111111,63.9469843994944,7
Financial Services,7.1079558951691855,-15.052253799056862,64.84843432060428,10
Food & Beverages,35.54205717822036,7.07329777344084,93.4914848577792,20
Health Care Equipment & Svc,140.76748251880392,103.36700336700338,126.19452789080889,11
Household & Personal Products,10.638297872340413,10.638297872340413,,1
Insurance,42.282250475173875,2.728731942215087,124.83838058683874,35
Materials,47.72386860250682,-7.157464212678937,169.8815850233169,49
Media and Entertainment,-5.172832726664159,-5.262332119994976,36.378688217894556,4
Pharma Biotech & Life Science,59.61456213163532,63.977485928705455,66.77644600220972,3
REITs,-20.823024819700688,-17.7671068427371,17.087562718182436,19
Real,-5.555848582856237,-8.525033829499321,19.51523372869558,15
Software & Services,106.56218190434731,58.17307692307692,208.2097283211955,5
Telecommunication Services,206.6357522068252,6.445312500000002,408.909114978111,5
Transportation,-8.918701535343123,-27.244897959183678,52.066388242213584,7
Utilities,87.89018040178759,82.43044500812367,107.8043354927495,6
